collided,completed,episode,episode_length,hitch_angle_variance,jackknifed,label,max_abs_cte_tractor,max_abs_cte_trailer,max_abs_hitch_angle,max_inference_ms,mean_abs_cte_tractor,mean_abs_cte_trailer,mean_abs_heading_err_tractor,mean_abs_heading_err_trailer,mean_abs_hitch_angle,mean_inference_ms,mean_min_lidar,min_clearance_m,p95_inference_ms,rms_cte_tractor,rms_cte_trailer,speed_variance,steering_rate_rms,steering_rate_variance,total_reward,truncated
True,False,1,39,0.0397724277655509,False,forward/bev_ae_unfrozen/dense,2.760251535634136,1.7945728628318889,0.6314188134223921,1.1989900085609406,0.6932666840458739,0.7234750926477999,0.2512575736307839,0.08592315674275543,0.169871966989205,0.9803905895051475,nan,nan,1.0621738940244543,0.9934660922262222,0.8985186016498086,0.06537936249719208,0.26202960338493003,0.022871288922274056,29.35778456926346,False
True,False,2,32,0.03670385475945967,False,forward/bev_ae_unfrozen/dense,2.742266705004358,1.8002776884461906,0.5982556563226771,1.019550982164219,0.718386572877594,0.7919525102396243,0.2979270349266641,0.08768257866848876,0.1841813979786851,0.9760469056345755,nan,nan,1.0108774557011202,1.0246767475986298,0.9554738714771137,0.05757313975135101,0.2759875567463104,0.016627844812529494,18.330337177030742,False
True,False,3,28,0.02008374682243035,False,forward/bev_ae_unfrozen/dense,2.8303525238830853,1.3651682539733956,0.4320532459974921,1.0562209936324507,0.7819780101264241,0.7559237415533682,0.30471923740233015,0.10104139153372271,0.16102207540056454,0.9744156434732888,nan,nan,1.0211886517936364,1.1005960462298956,0.8338267076712299,0.007032120486341608,0.16990411903825942,0.005359853765235503,13.609927117824554,False
True,False,4,30,0.02256556837806937,False,forward/bev_ae_unfrozen/dense,2.556879239464453,1.4408586414734008,0.46160609145201187,1.3538379862438887,0.6994397118896395,0.7418185104185573,0.2699006779631935,0.0924748889018539,0.15822524831098192,0.9932902302049721,nan,nan,1.1210884375032033,0.980303455132736,0.8313185079541383,0.011393226710366317,0.16462452508542083,0.005127094740767863,23.834342755377293,False
True,False,5,37,0.03956625690128711,False,forward/bev_ae_unfrozen/dense,2.905720119492998,1.7977127115627816,0.6260933444117176,1.0654409998096526,0.7112023764900296,0.7220006828802032,0.27305758485691917,0.07634229635421316,0.17264152394103874,0.9805384340595353,nan,nan,1.0284610150847584,1.0394059262081063,0.9112030156149852,0.06451733319739876,0.265364628324371,0.02176836947589928,24.165382686071098,False
True,False,6,27,0.01824528338009253,False,forward/bev_ae_unfrozen/dense,2.6800629245208243,1.3431240274088048,0.41177907702603417,1.122599991504103,0.7646529147469008,0.7475780278234543,0.29968623146252,0.10236769159314674,0.15424334720260052,0.9840704841297809,nan,nan,1.031712000258267,1.0656375003210463,0.8121318300381419,0.005963611770296155,0.17078317691820902,0.005364913577829795,15.706467065960169,False
True,False,7,39,0.019461638648745398,False,forward/bev_ae_unfrozen/dense,2.7267969765948687,1.2588376255757228,0.45146935641678315,1.1128699989058077,0.722605809766596,0.5560140234338364,0.20830223157660505,0.07333612600288666,0.12137123573317829,0.9839587967293576,nan,nan,1.0748860077001154,1.0027754609709654,0.6525916308552553,0.010895507394291957,0.13618517489630194,0.005996103124008428,38.58641955256462,False
True,False,8,31,0.023598825080616618,False,forward/bev_ae_unfrozen/dense,2.7263317780786123,1.4415033633913588,0.4737197009145477,1.0822309996001422,0.7322854356278564,0.7097926280595263,0.27391098069302566,0.08503265404769046,0.15891773404670856,0.9754006478620032,nan,nan,1.0324410104658455,1.0329265421214655,0.8174378019178482,0.012603943019743056,0.16277151905430465,0.005172626498424029,22.076712787151337,False
True,False,9,36,0.04363329159574646,False,forward/bev_ae_unfrozen/dense,3.091195533421414,1.768002560146801,0.6509243300247594,1.0374510020483285,0.8055501002995782,0.8037010847836465,0.2925938648137445,0.1039322305830086,0.19128246121657813,0.9780166922913244,nan,nan,1.0191509863943793,1.1480589898161069,0.9610216963584509,0.07404102284094088,0.275732625582705,0.020573331153249174,13.241517394781113,False
True,False,10,32,0.0215523033353245,False,forward/bev_ae_unfrozen/dense,2.6472515626864515,1.4389445302259192,0.45505407099419165,1.1659600131679326,0.7177010611270178,0.6232854282904265,0.25466540482500527,0.06228259810476647,0.14390744813327516,0.9824559374465025,nan,nan,1.0441274964250624,1.0045005933597144,0.7562914074863599,0.011708412075253478,0.15594195303983374,0.005890675905950535,27.01649260520935,False
True,False,11,41,0.02444568030762416,False,forward/bev_ae_unfrozen/dense,2.707365041488452,1.4892860769926421,0.5002442019504885,1.2375590158626437,0.6119970025167841,0.6418307283347363,0.21049631442512948,0.0799571233547259,0.13374477130845103,0.9883905856063726,nan,nan,1.0253509972244501,0.905232529860658,0.7592623146917671,0.015282663332132592,0.14545145713275356,0.007886516780567114,46.36287447810173,False
True,False,12,30,0.0215273083808571,False,forward/bev_ae_unfrozen/dense,2.592006297625444,1.4366783516601616,0.4517447901899579,1.2141100014559925,0.7134471737109318,0.6776409072029098,0.2701586162635447,0.07805312757794086,0.1520050549466851,0.982571134227328,nan,nan,1.0411119612399489,0.9986436621317554,0.7901286602077873,0.01090299806011641,0.16151640825445185,0.005046254733025709,23.750235944986343,False
True,False,13,32,0.025414276152092206,False,forward/bev_ae_unfrozen/dense,2.8276528717891685,1.4775583092703566,0.4922387790631952,1.3512579898815602,0.7482427326437378,0.7199146784644415,0.2768547433997969,0.08848243392042057,0.16529689934547084,0.9978848120226758,nan,nan,1.1199665561434813,1.0660268781693945,0.8305438863094871,0.013836059754833924,0.1613689375875151,0.005036737468457382,20.609233936294913,False
True,False,14,28,0.01981242170359485,False,forward/bev_ae_unfrozen/dense,2.795029873650702,1.3715936608988477,0.42944058829704657,1.1497699888423085,0.7840484079664322,0.7375364686466493,0.30059281208070354,0.09733197083066257,0.15763457160495256,0.9868048946373165,nan,nan,1.1068048639572223,1.0971040469321587,0.8161701647242168,0.007249972454246393,0.16893794098160123,0.005295230057790618,14.529712229967117,False
True,False,15,40,0.042796132129194524,False,forward/bev_ae_unfrozen/dense,2.998461440239002,1.7370684285612463,0.6543973669794693,1.0626710136421025,0.7330956085360604,0.7342855544495791,0.2571409307340059,0.09486902597581608,0.1755082478619226,0.9747997246449813,nan,nan,1.0224685131106526,1.0604809599326837,0.8991061420340795,0.07184231202323421,0.2609830522713014,0.02308570824352315,26.50509275496006,False
True,False,16,34,0.026495316298835263,False,forward/bev_ae_unfrozen/dense,2.789121399619908,1.5160218178651286,0.5062304231597543,1.2519090087153018,0.7154860206235263,0.6896843702761316,0.2584163336550183,0.0826669596008643,0.1604401543261091,1.0020443818682585,nan,nan,1.1784146598074583,1.025367318843602,0.8128134088804359,0.016251622162901935,0.16060311841374908,0.0060760875719804855,26.640835165977478,False
True,False,17,36,0.02826554445370423,False,forward/bev_ae_unfrozen/dense,2.828647919886606,1.5272781519408074,0.5251019100140133,1.1373909946996719,0.7050132683088122,0.6803194127972727,0.24912905653479284,0.08183118843843223,0.16134280486023378,0.9851978344765181,nan,nan,1.0395814970252104,1.0186170186200394,0.8121660946134593,0.018295836536261392,0.15938162414511825,0.006795483544530898,29.522023752331734,False
True,False,18,40,0.03978006778999467,False,forward/bev_ae_unfrozen/dense,2.977252366988311,1.8402912074953834,0.6371941436221186,1.1389800056349486,0.6735294029576394,0.7308894977117018,0.257290019158914,0.08575301369345614,0.16719689053179762,0.9884087980026379,nan,nan,1.0312154015991835,1.0085900090096873,0.9018361291012208,0.06513415697402354,0.25341072934628456,0.022560650438205914,30.826745122671127,False
True,False,19,32,0.024207952151002052,False,forward/bev_ae_unfrozen/dense,2.8068978030065628,1.4805287229846502,0.48008376473005865,1.0542809905018657,0.7435584571483587,0.6886211547049337,0.271896349893883,0.08240084137087714,0.15843556295159794,0.9814884351726505,nan,nan,1.0184084952925332,1.0572632752909317,0.8053659044060214,0.013027460245439517,0.15991938900319572,0.00554628843568431,22.252236990258098,False
True,False,20,40,0.036482377622236425,False,forward/bev_ae_unfrozen/dense,2.8248214601062,1.8347373354794387,0.6128885085306717,1.034390996210277,0.6509783715436537,0.6740413743121266,0.242416243095621,0.0721273895147754,0.15355227186108875,0.9813814234803431,nan,nan,1.0313704362488352,0.9632081044605886,0.8606036951585894,0.05718587811079758,0.25115663389192194,0.023452241616582152,36.27333238720894,False
True,False,21,28,0.02012969596544666,False,forward/bev_ae_unfrozen/dense,2.827610153010602,1.3934603171169797,0.43237374766991477,1.261418976355344,0.79344704127228,0.7272360233205745,0.30555110770319466,0.0950933086964697,0.15870810599977778,1.0031311072192952,nan,nan,1.100070512620732,1.1131311825048251,0.8150333002336174,0.007420503750886368,0.16970164863183632,0.005308373687683843,13.850234150886536,False
True,False,22,65,0.021759842871185608,False,forward/bev_ae_unfrozen/dense,2.855701780717455,1.277678898808476,0.5311965314722061,1.2566689983941615,0.5621101066982142,0.4364483712969249,0.13823197562068917,0.04936139751039985,0.0977650885788569,1.0031902777532546,nan,nan,1.1456659936811775,0.8363452594923997,0.5562781927520929,0.015811525300349905,0.11821050231180008,0.008163711884660772,96.78523936867714,False
True,False,23,38,0.019897334102162757,False,forward/bev_ae_unfrozen/dense,2.833530457487134,1.2852103809291202,0.45145451581383544,1.1944000143557787,0.7575453065719301,0.5597177432361736,0.22279980788005035,0.07074090140834863,0.1251154174020685,0.9806737384918195,nan,nan,1.020155003061518,1.0571959177081474,0.6669143639598464,0.01059657264275126,0.13588299431183018,0.005619016583134224,32.25967812538147,False
True,False,24,37,0.028572946933960282,False,forward/bev_ae_unfrozen/dense,2.812950606766891,1.5162032545067319,0.5284022409018458,1.173389988252893,0.6779463628368201,0.7385565137966454,0.24570274417531768,0.09839224456136837,0.16091903705201638,0.9944839717669262,nan,nan,1.075586793012917,0.9940276436866202,0.84085064624933,0.017860793229297334,0.15851346694366036,0.00718496198327902,31.414079394191504,False
True,False,25,47,0.03435346505994644,False,forward/bev_ae_unfrozen/dense,2.7822890894266066,1.7900412150080764,0.6143643774661609,1.2665489921346307,0.5915467281422836,0.6144230080358982,0.20443464776083103,0.06186956183118773,0.1315561534702663,0.9842261485012367,nan,nan,1.0290772886946797,0.8869392871112969,0.8055221933371205,0.05369922852635532,0.23400434802808712,0.025394581530698936,53.69648578763008,False
True,False,26,30,0.024259492163237372,False,forward/bev_ae_unfrozen/dense,2.9156267302069225,1.4538035809730667,0.476970059381018,1.1246299836784601,0.7848687017328813,0.783917828442542,0.2971323820190941,0.10760806618341061,0.17014734183640773,0.9868977940641344,nan,nan,1.0817764472449196,1.1145672738500383,0.8664708305651079,0.011115215462568709,0.16916061361510906,0.004909233511812835,14.42755289375782,False
True,False,27,29,0.037125419665560974,False,forward/bev_ae_unfrozen/dense,2.802306062196049,1.8276238140005379,0.5995089432341684,1.0200809920206666,0.7629020276893944,0.9074343333976586,0.33419843569147306,0.1186507363646057,0.2023975100291979,0.9726248591223026,nan,nan,1.0144493950065225,1.084823794122344,1.0229112282263555,0.056150391441868536,0.2814187061175608,0.010659984901475735,10.414778914302588,False
True,False,28,36,0.03844502009561037,False,forward/bev_ae_unfrozen/dense,2.828283126443331,1.8335321586891138,0.6205748425621846,1.1729300022125244,0.6797945919719101,0.7672442308738353,0.27174707683457844,0.0920180863950928,0.1761027904285507,0.9855748042658282,nan,nan,1.054308500897605,0.9974652430013491,0.9254460887786633,0.06131606232067382,0.2644797547936371,0.020523861328905373,26.765485167503357,False
True,False,29,28,0.03533278147795068,False,forward/bev_ae_unfrozen/dense,2.8571915317342396,1.8290321825279952,0.5846210321463292,1.147560979006812,0.7872656034446858,0.8529704683386671,0.34379958164748026,0.10227442268347318,0.19841177943821223,0.9971550035905759,nan,nan,1.1213333636987954,1.1110304692460156,0.9902301404242113,0.051476406908063044,0.2838838569696388,0.010057792869801989,8.888032611459494,False
