collided,completed,episode,episode_length,hitch_angle_variance,jackknifed,label,max_abs_cte_tractor,max_abs_cte_trailer,max_abs_hitch_angle,max_inference_ms,max_progress,mean_abs_cte_tractor,mean_abs_cte_trailer,mean_abs_heading_err_tractor,mean_abs_heading_err_trailer,mean_abs_hitch_angle,mean_inference_ms,mean_min_lidar,min_clearance_m,p95_inference_ms,rms_cte_tractor,rms_cte_trailer,speed_variance,steering_rate_rms,steering_rate_variance,total_reward,truncated
False,True,1,223,0.011209145097426387,False,forward/lidar/dense,0.5344311745333974,0.85213577678627,0.19317533104983264,0.5154659884283319,1.0,0.29671134362945284,0.4739505600606418,0.015477492005531064,0.06848884961827884,0.09230367978838275,0.2018833273735666,0.31061659372440903,nan,0.2091371061396785,0.33889788807374815,0.5132050279751652,8.393726028904205e-05,0.2875841805883045,0.08269420253374782,613.907145386074,False
False,True,2,220,0.0007602353847167814,False,forward/lidar/dense,0.52830760227789,0.5121800950903391,0.0565930487436265,0.5771549913333729,1.0,0.31289085203933714,0.29954434118928336,0.004297615216994027,0.016513354778070668,0.023317760524568066,0.2015502677584829,0.30789773166179657,nan,0.20582994766300544,0.35330880671716874,0.32360533812346975,1.6162060961002793e-06,0.15658357858054034,0.02451404004335942,614.5005075271093,False
False,True,3,220,0.002692678565696571,False,forward/lidar/dense,0.5000461786956225,0.5276092422292471,0.12763413831008893,0.5131950019858778,1.0,0.2889943893232475,0.2919925141780816,0.008378820686702785,0.028037329484952283,0.04452286511483343,0.20003383192074994,0.30973863899707793,nan,0.2060069571598433,0.3277939271906743,0.320788574512495,4.056649644504521e-06,0.1897841857917356,0.036012777630735696,618.2571867446553,False
False,True,4,222,0.006652233489826739,False,forward/lidar/dense,0.5319765633283183,0.6967997986500593,0.14917080751200468,0.5829450092278421,1.0,0.2690995685799176,0.4126841429094754,0.014643797548470951,0.05168105193977038,0.07240975455070854,0.20653121208778355,0.3135135125469517,nan,0.23363299915217783,0.31038322373652427,0.4335076598258265,1.9468623808290153e-05,0.22806346077475925,0.05199194440235311,620.3718072127497,False
False,True,5,222,0.0080846484886444,False,forward/lidar/dense,0.5155982259474163,0.6451239083558866,0.1646225711879902,0.5020259995944798,1.0,0.27161225734224176,0.3854241692661614,0.010747604932993279,0.05141603153065286,0.08171384379049354,0.20122330648633693,0.31200450497704585,nan,0.217757008067565,0.30766945835316833,0.414165332795395,2.3558760819505375e-05,0.24795244424219176,0.06146640308443124,621.9465351115906,False
False,True,6,223,0.008261514074797712,False,forward/lidar/dense,0.5308630270530245,0.8082358718782713,0.23741777370764028,0.514275991008617,1.0,0.3085190694726404,0.3763381375744433,0.012446703552921866,0.044808690353160166,0.07363885416302489,0.19686700453336514,0.30900224548818817,nan,0.20121800043852997,0.3402467946409191,0.4244346473396316,9.577387841104817e-05,0.2111267852550868,0.04453639116457284,618.78063849929,False
False,True,7,221,0.007261242347094434,False,forward/lidar/dense,0.5404020482750229,0.7385361495823176,0.17687086149292902,0.5188850045669824,1.0,0.2855562662959168,0.39960296101761383,0.011009920884954914,0.051025055547174264,0.07304313053887408,0.1980258870002818,0.3107918566977816,nan,0.20452900207601488,0.30584109776436064,0.4350887699270356,2.8225222413100403e-05,0.24332845942038997,0.05920873916299216,619.0895967383904,False
False,True,8,226,0.01973725673446556,False,forward/lidar/dense,0.7083981518583943,1.115928954590814,0.24147453364356644,0.5049959872849286,1.0,0.33729969856310965,0.5916781349859793,0.02527921175376461,0.09039820076236207,0.127295880524871,0.19375231880406166,0.30771017799862715,nan,0.1985689959838055,0.37317555527904595,0.6414020626347338,0.00017569566791929557,0.2980824670559466,0.08883776140309237,606.6528669108295,False
False,True,9,220,0.0007691779163552566,False,forward/lidar/dense,0.5004453287149291,0.5960854960744215,0.05087270630201045,0.5106949975015596,1.0,0.2875738326058209,0.2875557510956321,0.00619970731842257,0.017146877254299916,0.02645452581398035,0.19365747317682358,0.3089204579591751,nan,0.19745854660868645,0.3066069304555815,0.3026794147772726,8.73036435232863e-06,0.1467117524760278,0.021523577858230048,622.4496259686994,False
False,True,10,222,0.007146904825764566,False,forward/lidar/dense,0.5015536670178002,0.7257171207223184,0.15628055633279883,0.5120449932292104,1.0,0.27699427636132884,0.36477642172414126,0.01143012274324233,0.047573025057794524,0.07155663912213166,0.19981004506179662,0.3118581087202639,nan,0.20591845095623285,0.31164090443022946,0.3905086710653879,2.831396805697665e-05,0.26631035381913404,0.07090300118705903,622.2710622933977,False
