collided,completed,episode,episode_length,hitch_angle_variance,jackknifed,label,max_abs_cte_tractor,max_abs_cte_trailer,max_abs_hitch_angle,max_inference_ms,mean_abs_cte_tractor,mean_abs_cte_trailer,mean_abs_heading_err_tractor,mean_abs_heading_err_trailer,mean_abs_hitch_angle,mean_inference_ms,mean_min_lidar,min_clearance_m,p95_inference_ms,rms_cte_tractor,rms_cte_trailer,speed_variance,steering_rate_rms,steering_rate_variance,total_reward,truncated
True,False,1,221,0.0024131800722560974,False,forward/lidar_24/tractor_focus,0.5109358495634938,0.6862784722210055,0.09994463292215075,0.3785960143432021,0.2769378200049237,0.34423170099478295,0.01101837179623467,0.04026993542541615,0.04730349005580878,0.15249389697317187,0.31192307747327364,nan,0.20572898210957646,0.29563049572443756,0.36024073058380846,4.643455702759361e-06,0.18216567545975218,0.033174952302711266,630.6620600562402,False
True,False,2,220,0.0009382131699715292,False,forward/lidar_24/tractor_focus,0.5062626154340351,0.42901569458780725,0.06406663892150322,0.37788599729537964,0.26113763882493907,0.2634014310656081,0.00432420301229687,0.014716120415705568,0.02483237628318255,0.15822186330545016,0.31462499797344207,nan,0.1988175630685873,0.3133140337862954,0.2895091900038865,8.396488184805607e-07,0.2296698715489952,0.05274775224781499,626.0260014832015,False
True,False,3,220,0.0032498854777905993,False,forward/lidar_24/tractor_focus,0.5000353357900676,0.7125862048445607,0.1317881163307545,0.3734370111487806,0.26530713710011505,0.3473906194050383,0.007932206181257354,0.036169260396490516,0.043723240808438715,0.15185623157197947,0.31373863518238065,nan,0.20114548533456383,0.31280377837143547,0.3919816264471572,9.005515496663384e-06,0.21636521182229515,0.046813897681235325,626.1344404719376,False
True,False,4,221,0.005814926073827867,False,forward/lidar_24/tractor_focus,0.5135190068513332,0.7202896185960524,0.12688092571203624,0.3777370147872716,0.27694158514181855,0.40285870602065593,0.01327307421047908,0.05314890685914645,0.06988302987473854,0.14453131217737072,0.3126923075089088,nan,0.16447901725769043,0.2997779305716949,0.42480567715194406,1.2049197913336232e-05,0.18457503279824655,0.034066539853759535,630.0739795076977,False
True,False,5,221,0.002746378836539515,False,forward/lidar_24/tractor_focus,0.5034458496080803,0.5511000607077907,0.0933063167509544,0.4890959826298058,0.266216032437274,0.32838344457074903,0.008678058003153584,0.03623290463287771,0.051948557484923906,0.14979021736458617,0.31419683096095985,nan,0.2003379922825843,0.3024261954263027,0.3478215568555197,3.0453377842049406e-06,0.18545049050592236,0.03439149871834409,629.8641354281168,False
True,False,6,221,0.0023046508189968535,False,forward/lidar_24/tractor_focus,0.5133213505690941,0.5714089194283596,0.10461482400585027,0.40913699194788933,0.26887182533146525,0.28670510963180973,0.007851691056358759,0.024004380143189473,0.036750679129962806,0.14412074667987376,0.312952488256256,nan,0.1755880075506866,0.3243063430695996,0.31193504727164795,4.890880237631108e-06,0.19769698586684312,0.039077385388712214,626.8684416707954,False
True,False,7,223,0.010619598339961143,False,forward/lidar_24/tractor_focus,0.5927742174654835,0.780009829066327,0.21186664563221563,0.3879269934259355,0.2909007413773066,0.3996640075683205,0.013076071685116946,0.05679728600264487,0.08562337546135837,0.14695281049574938,0.3122309418269872,nan,0.19148208084516227,0.3247266312735917,0.4317598397010632,5.933543163604589e-05,0.2058338918099959,0.04236756722023525,631.3182249859167,False
True,False,8,221,0.0045981603907436375,False,forward/lidar_24/tractor_focus,0.5242296071430514,0.6181324160182964,0.14464512297489918,0.37081699701957405,0.27640949369513124,0.36004100347801876,0.009911887530598395,0.04307874968525387,0.05726747617863272,0.14983061058404623,0.31279411736656637,nan,0.19173900363966823,0.31536323984685555,0.38135863776513573,1.0972006099132908e-05,0.1962405181882688,0.03851009149767587,628.0968445624004,False
True,False,9,222,0.002719323118065768,False,forward/lidar_24/tractor_focus,0.5170353407149224,0.6241347771932543,0.12194177381721186,0.3486270143184811,0.26640257668269907,0.31784701314478486,0.010215091286434434,0.03284894827347356,0.04197534063138498,0.14239389788640477,0.31381756631103724,nan,0.15614750009262934,0.29881488002197654,0.3364036895245947,8.257613875958923e-06,0.20107544657930906,0.040415816934502524,632.7718187728765,False
True,False,10,224,0.015635651840968746,False,forward/lidar_24/tractor_focus,0.6011034592003264,0.8645478963693016,0.2231845937021007,0.37226700806058943,0.3295701377751503,0.4778434845717156,0.018809161222851804,0.07426775160110445,0.11263967857413938,0.1450086835705276,0.3095535723758595,nan,0.16738216363592068,0.35411354049667215,0.5103653821691302,9.396057490624505e-05,0.20436893492990918,0.04176621719500752,629.2035743516622,False
True,False,11,222,0.0048880076610105004,False,forward/lidar_24/tractor_focus,0.5091394962154777,0.7332723700899201,0.1211990437480523,0.3891669912263751,0.2696750703045465,0.35117461504882863,0.007894186688075813,0.039627107037530446,0.0585573712474213,0.1538975999652836,0.31427927758242635,nan,0.1952755119418725,0.30743389037048496,0.3806985222397332,6.775935252517602e-06,0.19417976487131908,0.03770489758854212,631.7459990904624,False
True,False,12,225,0.018903276995875816,False,forward/lidar_24/tractor_focus,0.681688208736242,0.8985827437246937,0.24143248802247608,0.34670799504965544,0.35751623597618226,0.4821283751789187,0.020056772704298537,0.0804842605981656,0.12601413298499684,0.13928210647362801,0.30738888886239796,nan,0.149621011223644,0.3884651217267714,0.520451107088342,0.0001402959185285407,0.21702286635736112,0.047098889699652965,625.6973749912053,False
True,False,13,223,0.007560555015603563,False,forward/lidar_24/tractor_focus,0.539630614479796,0.742040372042301,0.1462795949824336,0.3685970150399953,0.2950947198527015,0.39691745314179033,0.014411068429283318,0.04920570147836254,0.07104484131278493,0.15042973092377118,0.3105717507178473,nan,0.1942590839462354,0.3267406940300811,0.426882845364229,1.964050663664517e-05,0.20301121112643467,0.04120643040398277,631.3548684041413,False
True,False,14,221,0.0036618855930591054,False,forward/lidar_24/tractor_focus,0.5061320393274508,0.7108633058672088,0.11568896917840502,0.3859669959638268,0.2672138715632261,0.30354411631494466,0.008137827938314923,0.03174756784735708,0.049053446006538215,0.1451960494594303,0.31265837088968956,nan,0.18831901252269745,0.2901040281576927,0.32660434683052525,5.895495209589984e-06,0.207415808300647,0.04301883171035748,631.6140023044516,False
True,False,15,222,0.006111634023825123,False,forward/lidar_24/tractor_focus,0.5255127609419418,0.646517134764798,0.1493105938158695,0.4134860064368695,0.2837218080006238,0.3759930132917908,0.011759509131375133,0.045301646702299046,0.06629978383682252,0.14821483820743925,0.3130630625260843,nan,0.1913570216856897,0.3259891289225357,0.3992622108081572,1.578095075522102e-05,0.20942086737594753,0.043851085339072796,629.0296463977731,False
True,False,16,223,0.013278884583681245,False,forward/lidar_24/tractor_focus,0.6068923667446035,0.8084214169479215,0.21528425582539934,0.3827270120382309,0.3244772188761437,0.4716158288667088,0.021457146074072456,0.0764843870964556,0.09979026497198258,0.14782635844312608,0.30827354542877644,nan,0.18892498919740316,0.3479321239490363,0.5004597032294417,7.013077245810167e-05,0.2001179306237367,0.040036618034811816,627.7476398618496,False
True,False,17,222,0.007308485353913462,False,forward/lidar_24/tractor_focus,0.532772235434902,0.7001974550191277,0.17920074854208945,0.3791369963437319,0.27282310279961547,0.357604674501326,0.010608749328375052,0.0440970894766106,0.07154691307774608,0.14945703518245504,0.31308558502712763,nan,0.19651949551189313,0.2905752025270665,0.37695141480023575,1.8356064205487117e-05,0.1953221402118818,0.0381491010032353,634.029108490003,False
True,False,18,221,0.004286368665886966,False,forward/lidar_24/tractor_focus,0.5086854689363506,0.6257223474565421,0.1303072246763546,0.35794699215330184,0.2762151612530634,0.3755189379383385,0.012827792898999556,0.04886838062350637,0.05781894613909577,0.14584578233412826,0.31312217135235193,nan,0.1884989906102419,0.3159964194955919,0.4017753081102114,8.718375971722907e-06,0.18315793579636988,0.03353839505281576,627.9438375739389,False
True,False,19,226,0.014044306434128238,False,forward/lidar_24/tractor_focus,0.5779273243841146,0.7790618859114161,0.24547942201453254,0.39738600025884807,0.32722930238994463,0.4257735452714602,0.022510432330820482,0.06546058965772407,0.09575945899906123,0.1526151283333012,0.30721239257702787,nan,0.2046430017799139,0.34841357930458905,0.4610222403863512,9.736028330307516e-05,0.22818711603872308,0.05202517857391506,634.6066210104027,False
True,False,20,222,0.009357533262463073,False,forward/lidar_24/tractor_focus,0.5997932406336371,0.7986897168408921,0.2174789183287654,0.3527869994286448,0.2966292987339656,0.4072831321083754,0.014919715412880138,0.061597135600652136,0.08259184207783109,0.1453637353381612,0.3107432447843724,nan,0.19028954266104844,0.3215866581004263,0.433353216378118,3.852587775016199e-05,0.16321157746098067,0.02663345344641156,629.8821608055405,False
True,False,21,221,0.002341000618472146,False,forward/lidar_24/tractor_focus,0.5136881730371408,0.7372865629886699,0.09385818254289376,0.4082269733771682,0.26414322220654185,0.31017517062277983,0.0066159359402507825,0.029673254626550412,0.04301373722722221,0.15175062820644064,0.31462669480440303,nan,0.19963798695243895,0.31187795821836084,0.3373957490643882,2.4913439271423024e-06,0.1897613495884399,0.036006902433152764,628.7033912769767,False
True,False,22,221,0.001900493875787627,False,forward/lidar_24/tractor_focus,0.5146583133772024,0.5461870406086353,0.09732445438276069,0.3952370025217533,0.26813454329232717,0.28758978391781337,0.007223855934940669,0.0227134952671367,0.0335033301429576,0.15015535849900874,0.3134615375445439,nan,0.2003379922825843,0.3311161404649636,0.31673923847253765,3.2606395522280764e-06,0.18503674253000646,0.03423555556761643,625.8564477475799,False
True,False,23,220,0.0015058329611208107,False,forward/lidar_24/tractor_focus,0.5000682815720289,0.7145670642223376,0.1040101846864731,0.3255869960412383,0.25985001605376984,0.3124302515598512,0.00717399384104677,0.030702732525157372,0.03820742225578205,0.14648957797114484,0.3141477257013321,nan,0.19444395002210507,0.26867502251793285,0.3379907672408278,3.1923622303395553e-06,0.17345892309243943,0.030087969731323685,631.8203355848556,False
True,False,24,221,0.003905648676230083,False,forward/lidar_24/tractor_focus,0.5065246613709928,0.7066367312914197,0.13874237475048737,0.4321770102251321,0.2775844971670741,0.3445986472377736,0.011090934367864694,0.04338722057946522,0.05362326908776817,0.1431316699900104,0.3133257910676671,nan,0.1614780048839748,0.30631499787117716,0.3724790017789618,9.067571384982802e-06,0.17287078119963148,0.02986936192746099,629.1315955394131,False
True,False,25,223,0.012261874150999308,False,forward/lidar_24/tractor_focus,0.5630210323720782,0.8320554606379477,0.2038071357349363,0.3700969973579049,0.31624514734938064,0.49239988371643745,0.021097286718695957,0.07592839576475867,0.10034043158560833,0.14267496935889593,0.3091591958775114,nan,0.18278789939358828,0.336230660408908,0.5226876635231029,5.718264345464054e-05,0.16572350764664903,0.02745743220399521,629.5779983601212,False
True,False,26,221,0.0030043214093890282,False,forward/lidar_24/tractor_focus,0.5027465212338387,0.5836698360559613,0.10588360232295778,0.3745869908016175,0.2659913285101454,0.3163771471047429,0.008489326876537766,0.029017885716072875,0.04583687525315822,0.13667221296456436,0.3137104060854847,nan,0.141948985401541,0.31460188914498816,0.3481812470302143,5.579993096251419e-06,0.2106368998550923,0.04436588107943041,628.4280179317775,False
