algo,direction,obs,reward,n_seeds,completion_mean,completion_ci95,trailer_cte_mean,trailer_cte_ci95,max_hitch_mean,max_hitch_ci95,jackknife_mean,jackknife_ci95,ep_return_mean,ep_return_ci95,steps_to_threshold_mean
td3,forward,lidar16,multiplicative,3,0.9986979166666666,0.0025520833333333337,0.3692930886478394,0.014849301192685084,0.09389238462972571,0.016244103829822925,0.0,0.0,692.4642630454537,20.247427989069166,187648.0
td3,forward,lidar24,multiplicative,3,1.0,0.0,0.39429079145038415,0.04742709564611017,0.09646287387335584,0.005691857250395501,0.0,0.0,667.3348714275699,42.019532960309405,187648.0
td3,forward,lidar32,multiplicative,3,1.0,0.0,0.49553197259413023,0.17504306582556114,0.10149974892960421,0.010692705877566558,0.0,0.0,613.6706426263426,117.00847516846079,187648.0
td3,forward,lidar4,multiplicative,3,1.0,0.0,0.3473919541029827,0.017013366362037156,0.09658509724370863,0.010416529657063228,0.0,0.0,695.5352613554836,6.066371905878303,187648.0
td3,forward,lidar8,multiplicative,3,1.0,0.0,0.3775630550619562,0.03243747258209972,0.10087343394257509,0.009563952755041632,0.0,0.0,671.9503776726779,23.431145800042756,187648.0
td3,forward,state,multiplicative,3,0.6666666666666666,0.6533333333333334,0.6771549790938359,0.5811564839487243,0.34588226017585927,0.4470302213033563,0.0,0.0,389.7826938936369,450.93897221208834,187648.0
td3,reverse,lidar16,multiplicative,3,0.9954566485351676,0.0025402913487182523,0.5147509021133322,0.06176158290553769,0.16825642028784926,0.011186268154309844,0.0,0.0,730.2020540993338,30.07996636552074,187648.0
td3,reverse,lidar24,multiplicative,3,0.32915057915057916,0.645135135135135,0.8278917848484183,0.30748895372806007,0.6941751722007742,0.5045404354808907,0.0,0.0,-71.51711645460698,788.4337621757201,375296.0
td3,reverse,lidar32,multiplicative,3,0.6570387398513096,0.6439204185123006,0.6832230750372806,0.29851015401501346,0.43660812212362154,0.5040601513426367,0.0,0.0,322.6562495864151,780.5766990262466,375296.0
td3,reverse,lidar4,multiplicative,3,0.6643934116730031,0.6511057783423847,0.677000324721024,0.30355875612401545,0.4191860672454501,0.5212760271452569,0.0,0.0,326.46852143183514,784.674348172381,281472.0
td3,reverse,lidar8,multiplicative,3,0.6624626730612614,0.6492191711395414,0.714015962288051,0.3272557672449314,0.42549075035548833,0.5135177337883354,0.0,0.0,323.86112598656683,783.0149922231733,281472.0
td3,reverse,state,multiplicative,3,0.6598934079315534,0.6466957762343094,0.8074389437693285,0.17735903593282826,0.42289085449473535,0.5153149683228494,0.0,0.0,271.60788205252203,730.716003592298,187648.0
