run_id,algo,direction,obs,reward,seed,timesteps,completion,trailer_cte,max_hitch,jackknife,ep_return,n_episodes
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,250112,0.0,0.3296062536924156,0.47404457750083323,0.0,-63.56272179331294,1277
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,500224,0.0,0.5746953520960415,0.3264844583748577,0.0,-31.60170437948803,599
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,750336,1.0,0.5215463556549447,0.07661551937053446,0.0,572.1951384286676,256
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,1000448,0.0,1.251150300501497,0.7692286863166373,0.0,-97.33949087407197,4096
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,1250560,0.0,1.2538423744244551,0.7683445152069908,0.0,-97.38328981184762,4096
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,1500672,0.0,1.2527208122651095,0.7615512911143014,0.0,-97.46847243343667,4096
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,1750784,0.0,1.2560355194201354,0.7833758157939883,0.0,-97.24440144908148,4096
ppo__forward__lidar24__dense__s0,ppo,forward,lidar24,dense,0,2000896,0.0,1.260470709833596,0.7994272842042847,0.0,-97.25872526103075,4096
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,250112,0.0,0.33992199006965734,0.43163127091941456,0.0,-55.44090777402215,1057
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,500224,0.4177215189873418,0.656594913228231,0.2821988646365419,0.0,137.75785081649815,474
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,750336,1.0,0.5200276248916939,0.08286773733925656,0.0,576.404766562413,256
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,1000448,0.0,0.3482076082634452,0.4589756527723041,0.0,-16.412638994720226,977
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,1250560,1.0,0.4121846222049021,0.07364599731226917,0.0,601.7603936349042,256
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,1500672,1.0,0.4501227375831833,0.08308125475014094,0.0,589.8646601091605,256
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,1750784,1.0,0.3733806340467783,0.07256532387509651,0.0,611.5461853952147,256
ppo__forward__lidar24__dense__s1,ppo,forward,lidar24,dense,1,2000896,1.0,0.38332571233590895,0.0858805201787618,0.0,607.301809719298,256
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,250112,0.0,0.34366079741155053,0.48938868450651685,0.0,-64.09119748409749,1328
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,500224,0.03980891719745223,0.6685893366412914,0.2877641020188476,0.0,-111.9818453841605,628
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,750336,1.0,0.5067836511918127,0.07388600982812932,0.0,572.0128812452185,256
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,1000448,0.0,1.2698176522316877,0.8004366276436485,0.0,-97.39032198118278,4096
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,1250560,0.0,1.2657503874355172,0.7856010640825843,0.0,-97.43881961280847,4096
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,1500672,0.0,1.2621037206258197,0.7907527726492845,0.0,-97.42113030594788,4096
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,1750784,0.0,1.2683454093003959,0.7968217717570951,0.0,-97.41390539733658,4096
ppo__forward__lidar24__dense__s2,ppo,forward,lidar24,dense,2,2000896,0.0,1.2717043857970542,0.8030489079974359,0.0,-97.55775788076213,4096
