algo,direction,obs,reward,n_seeds,completion_mean,completion_ci95,trailer_cte_mean,trailer_cte_ci95,max_hitch_mean,max_hitch_ci95,jackknife_mean,jackknife_ci95,ep_return_mean,ep_return_ci95,steps_to_threshold_mean
dqn,forward,lidar24,dense,3,1.0,0.0,0.2464110465439033,0.041401397881890116,0.09279562990559498,0.0063820992320998225,0.0,0.0,635.018593717421,4.27556715206545,100000.0
dqn,forward,lidar24,guided,3,1.0,0.0,0.21562116251508842,0.02055811028732911,0.10375326552760604,0.002884828113953803,0.0,0.0,855.0887807893154,5.644972404539382,200000.0
dqn,forward,lidar24,multiplicative,3,1.0,0.0,0.31713777832424417,0.11099757746423618,0.09237642372924408,0.008444053836219309,0.0,0.0,773.020691365063,80.84308896334707,133333.33333333334
dqn,forward,lidar24,tractor_focus,3,1.0,0.0,0.3323948021460814,0.14381926903501638,0.11776630706056822,0.03265788143264369,0.0,0.0,623.2651587969934,37.13541820588216,100000.0
dqn,reverse,lidar24,dense,3,0.7545155187985245,0.19300976849924767,1.3305889612947401,0.2500767848135744,0.3057402268157378,0.06693065851934207,0.028387482251529806,0.03733101702359669,-6.163568999506329,309.7328981117168,nan
dqn,reverse,lidar24,guided,3,0.0919667432819727,0.12704483508206177,1.7999293064397133,0.8529036586449039,0.47343502439120483,0.47417215210362124,0.006191950464396284,0.012136222910216717,-405.49786012276735,66.27300919427432,nan
dqn,reverse,lidar24,multiplicative,3,0.7351320632209246,0.2665112685391859,1.39438533347668,0.28003879619837985,0.37973048581613883,0.15906504484793285,0.01908957415565345,0.03741556534508077,235.9058964718416,227.26033966641208,700000.0
dqn,reverse,lidar24,no_hitch,3,0.8168550773264999,0.06581218387491419,2.3594316638397705,0.43446484111627265,0.25872215948485205,0.0804310888894118,0.0,0.0,-1223.9236296463966,519.5866045716066,nan
ppo,forward,lidar24,dense,3,0.8259803921568628,0.34107843137254906,0.5908309839013102,0.14766063436183544,0.19585582354754472,0.17106097928557656,0.0,0.0,276.42091600403273,406.62743024075417,500480.0
ppo,forward,lidar24,guided,3,0.7045454545454545,0.5790909090909091,0.8439170334454803,0.7173731250715608,0.1896687049561218,0.1989072145552194,0.0,0.0,358.1137239820086,509.3508347036768,900864.0
ppo,forward,lidar24,multiplicative,3,0.6769884638737098,0.6331026108075289,0.44826316635559155,0.3146851038685623,0.13525702833209294,0.11837433292801601,0.0,0.0,445.09997244253645,711.7883719269477,500480.0
ppo,forward,lidar24,tractor_focus,3,0.6304283230828732,0.17250168227050763,0.7990044836419147,0.29634235327945835,0.2576404250401214,0.04593367045030814,0.0,0.0,-36.41998328718663,466.00262458063054,nan
ppo,reverse,lidar24,dense,3,0.0009291521486643438,0.001821138211382114,1.1673753218527179,0.47603758000934504,0.5629673877100743,0.020263935512863745,0.0,0.0,-345.16397690680554,195.2749647467142,nan
ppo,reverse,lidar24,guided,3,0.0,0.0,0.8044625557435031,0.24545189789345312,0.8074280745599353,0.11460906490916228,0.00723589001447178,0.014182344428364689,-356.88819250223906,117.10624051360324,nan
ppo,reverse,lidar24,multiplicative,3,0.14009009009009007,0.2745765765765766,0.9980307513425718,0.24453839975334887,0.7566159205835362,0.29871446066168766,0.0,0.0,-136.59140198024818,425.0589413825329,nan
ppo,reverse,lidar24,no_hitch,3,0.0002643404705260375,0.0005181073222310336,1.0411556043986256,0.5638101662510436,0.7814005351104422,0.22731737432666646,0.0,0.0,-499.5492294194999,61.31342972952047,nan
ppo_disc,forward,lidar24,dense,3,0.5589545969730302,0.2257983626024535,0.7844917166395301,0.03753808604857684,0.30919733908239944,0.14757030961611164,0.0,0.0,1.503503303908256,176.6099244724313,nan
ppo_disc,forward,lidar24,guided,3,0.5424671790494539,0.10257991162504006,0.8081288703505933,0.44174967307098445,0.2378027201281124,0.14539983423668415,0.0,0.0,175.59080705747226,178.31276794245062,nan
ppo_disc,forward,lidar24,multiplicative,3,0.42738848948622216,0.5148868233612258,0.7264327172532544,0.18519032890448817,0.3514324885793945,0.12482949706390348,0.0018214936247723133,0.003570127504553734,71.50074467315473,449.75952722513654,1901824.0
ppo_disc,forward,lidar24,tractor_focus,3,0.18080176383069546,0.2291597086569019,0.8658601740981232,0.5270177626465442,0.33105429851929086,0.31504376965704506,0.0,0.0,-347.7549777174154,142.00214902887075,nan
ppo_disc,reverse,lidar24,dense,3,0.15246636771300448,0.2988340807174888,0.871550134170669,0.6581804304317315,0.39405073737193225,0.21905353582445805,0.11858495266567015,0.23242650722471353,-223.82696703616094,105.4934702279992,nan
ppo_disc,reverse,lidar24,guided,3,0.2965986394557823,0.2909967544683465,1.1439251074355556,0.3678542732889659,0.45703652418571233,0.5154498220299413,0.004988662131519274,0.009777777777777778,-22.757352146680077,455.82658821047363,nan
ppo_disc,reverse,lidar24,multiplicative,3,0.16589386913961876,0.32515198351365276,1.066096419934812,0.3639933283941043,0.5154607468702936,0.40518337289576106,0.02270656994128469,0.03850004150383208,-96.3942581916992,349.17946971727923,nan
ppo_disc,reverse,lidar24,no_hitch,3,0.33099585203318377,0.32877447695912054,1.1651255313203122,0.4290559434439433,0.3057611070148009,0.33823475388649343,0.054090476367098156,0.054547335824288626,-132.12915088923276,161.62137732595568,nan
td3,forward,lidar24,dense,3,0.6666666666666666,0.6533333333333334,0.6096400905286694,0.5710356586333539,0.33778971608019975,0.458692016186643,0.0,0.0,238.57598083341148,719.1830633937689,200000.0
td3,forward,lidar24,guided,3,0.3333333333333333,0.6533333333333334,1.1131119078878702,0.13206960349859814,0.5761232514050789,0.4460209481402148,0.0,0.0,-183.8760298454912,547.4259882613072,200000.0
td3,forward,lidar24,multiplicative,3,1.0,0.0,0.9331343341309072,0.3372548249571993,0.10419975174105882,0.015184380902201686,0.0,0.0,422.3853429799695,104.2526374352208,366666.6666666667
td3,forward,lidar24,tractor_focus,3,1.0,0.0,0.5811595022140821,0.3404419083970433,0.10089944265928352,0.00840101976103887,0.0,0.0,525.5631604215434,162.64688701327916,266666.6666666667
td3,reverse,lidar24,dense,3,0.544135074465297,0.5338455351864365,1.1610382249600473,0.21628697409303793,0.41695394190568474,0.5249381116001332,0.0,0.0,-31.578519705827222,482.80954240493685,nan
