t_ns,steering_tire_angle
1785938877962010342,0.0
1785938877962075401,0.0
1785938877962092617,0.0
1785938877962106954,0.0
1785938877962119978,0.0
1785938877962132330,0.0
1785938877962145675,0.0
1785938877982699977,0.0
1785938878002549935,0.0
1785938878021655292,0.0
1785938878041403422,0.0
1785938878061139201,0.0
1785938878080903236,0.0
1785938878101963827,0.0
1785938878124052646,0.0
1785938878141045962,0.0
1785938878178105852,0.0
1785938878182594645,0.0
1785938878202386041,0.0
1785938878221617770,0.0
1785938878241698584,0.0
1785938878261842024,0.0
1785938878281585547,0.0
1785938878301469746,0.0
1785938878321723398,0.0
1785938878341211424,0.0
1785938878361691771,0.0
1785938878381266744,0.0
1785938878402789175,0.0
1785938878423331605,0.0
1785938878442069781,0.0
1785938878461487020,0.0
1785938878481384628,0.0
1785938878501659176,0.0
1785938878521959294,0.0
1785938878542539581,0.0
1785938878568534613,0.0
1785938878581196005,0.0
1785938878602589184,0.0
1785938878621645163,0.0
1785938878641148869,0.0
1785938878661386169,0.0
1785938878681249215,0.0
1785938878703368787,0.0
1785938878721662884,0.0
1785938878741269569,0.0
1785938878762278703,0.0
1785938878781322298,0.0
1785938878803607507,0.0
1785938878821714845,0.0
1785938878845067579,0.0
1785938878861722100,0.0
1785938878881449462,0.0
1785938878902153657,0.0
1785938878921495470,0.0
1785938878941208207,0.0
1785938878961716172,0.0
1785938878981425069,0.0
1785938879004721929,0.0
1785938879022018392,0.0
1785938879044044168,0.0
1785938879061616576,0.0
1785938879081511592,0.0
1785938879102062086,0.0
1785938879122022352,0.0
1785938879141369765,0.0
1785938879166611107,0.0
1785938879181269591,0.0
1785938879210585857,0.0
1785938879222729312,0.0
1785938879240947278,0.0
1785938879261547950,0.0
1785938879281239950,0.0
1785938879304570635,0.0
1785938879321730422,0.0
1785938879341325203,0.0
1785938879361847472,0.0
1785938879381434797,0.0
1785938879401785668,0.0
1785938879421813104,0.0
1785938879441229128,0.0
1785938879461525341,0.0
1785938879481278080,0.0
1785938879505421272,0.0
1785938879521588321,0.0
1785938879541368260,0.0
1785938879561736700,0.0
1785938879588895420,0.0
1785938879613088438,0.0
1785938879628872593,0.0
1785938879641312346,0.0
1785938879661681650,0.0
1785938879681925350,0.0
1785938879702265628,0.0
1785938879721751382,0.0
1785938879741315826,0.0
1785938879761854192,0.0
1785938879781515119,0.0
1785938879801807077,0.0
1785938879821915188,0.0
1785938879841841852,0.0
1785938879869678931,0.0
1785938879881103897,0.0
1785938879901874975,0.0
1785938879921693956,0.0
1785938879944133410,0.0
1785938879961726203,0.0
1785938879981814346,0.0
1785938880001830197,0.0
1785938880022266639,0.0
1785938880041311738,0.0
