t_ns,reverse
1785939482957619908,1
1785939483019731597,1
1785939483119466300,1
1785939483218765916,1
1785939483319120032,1
1785939483419855825,1
1785939483519186866,1
1785939483620436917,1
1785939483718954682,1
1785939483818981875,1
1785939483918433976,1
1785939484021897671,1
1785939484118753107,1
1785939484218036051,1
1785939484320036655,1
1785939484425814124,1
1785939484517938743,1
1785939484619095767,1
1785939484722319165,1
1785939484818392238,1
1785939484917505480,1
1785939485017925966,1
1785939485118428664,1
1785939485226411104,1
1785939485327226164,1
1785939485419137368,1
1785939485519479387,1
1785939485629961017,1
1785939485720708117,1
1785939485820787920,1
1785939485921353403,1
1785939486019040740,1
1785939486118018681,1
1785939486217497695,1
1785939486320369913,1
1785939486418491217,1
1785939486518445543,1
1785939486628399923,1
1785939486719410872,1
1785939486836712703,0
1785939486923240651,0
1785939487025085954,0
1785939487122849549,0
1785939487222406518,0
1785939487323817950,0
1785939487425652757,0
1785939487521047727,0
1785939487621729599,0
1785939487727576446,0
1785939487835283070,0
1785939487922129716,0
1785939488022041801,0
1785939488122398669,0
1785939488221926773,0
1785939488322715624,0
1785939488431992797,0
1785939488520927067,0
1785939488621736014,0
1785939488723748235,0
1785939488838380311,0
1785939488924845216,0
1785939489023940601,0
1785939489124219483,0
1785939489222610428,0
1785939489321658547,0
1785939489423256130,0
1785939489524165657,0
1785939489622537401,0
1785939489721207972,0
1785939489838034042,0
1785939489928124160,0
1785939490022403988,0
1785939490122245959,0
1785939490222120058,0
1785939490322411708,0
1785939490425840041,0
1785939490533766192,0
1785939490626136803,0
1785939490723156181,0
1785939490836281870,0
1785939490922897661,0
1785939491026663893,0
1785939491121759846,0
1785939491221484180,0
1785939491323421102,0
1785939491424099293,0
1785939491522762024,0
1785939491627673639,0
1785939491726239694,0
1785939491833056623,0
1785939491922375002,0
1785939492023089162,0
1785939492122634067,0
1785939492226415500,0
1785939492324099669,0
1785939492424944938,0
1785939492521167168,0
1785939492621513636,0
1785939492728228802,0
1785939492838184430,0
1785939492923315530,0
1785939493023901398,0
1785939493123361371,0
1785939493221452274,0
1785939493322322599,0
1785939493424320900,0
1785939493523622340,0
1785939493623780481,0
1785939493723243367,0
1785939493838897013,0
1785939493922751558,0
1785939494022327887,0
1785939494122862265,0
1785939494223250623,0
1785939494326343904,0
1785939494421577557,0
1785939494522851065,0
1785939494625833815,0
1785939494722255284,0
1785939494833686803,0
1785939494929133551,0
1785939495023974135,0
1785939495121948905,0
1785939495221269706,0
1785939495329793381,0
1785939495429831391,0
1785939495522777318,0
1785939495621116357,0
1785939495723175555,0
1785939495846960455,0
1785939495921735554,0
1785939496026849800,0
1785939496123820985,0
1785939496220819818,0
1785939496324269560,0
1785939496424055241,0
1785939496524848508,0
1785939496623096728,0
1785939496722723011,0
1785939496832615213,0
1785939496922173184,0
1785939497029369486,0
1785939497121019720,0
1785939497222649944,0
1785939497323769334,0
1785939497422195800,0
1785939497523883722,0
1785939497633262626,0
1785939497725253897,0
1785939497824250046,0
1785939497930980412,0
1785939498029087572,0
1785939498128179884,0
1785939498229083811,0
1785939498335399251,0
1785939498422683448,0
1785939498525681303,0
1785939498644666711,0
1785939498722060555,0
1785939498825689343,0
1785939498924914908,0
1785939499023171737,0
1785939499121019559,0
1785939499231591592,0
1785939499324146594,0
1785939499449274292,0
1785939499523395448,0
1785939499623942531,0
1785939499725895581,0
1785939499823200345,0
1785939499929454823,0
1785939500021806970,0
1785939500122064122,0
1785939500231264300,0
1785939500330956954,0
1785939500422808508,0
1785939500530427704,0
1785939500622348316,0
1785939500723255571,0
1785939500823133702,0
1785939500923810197,0
1785939501029952671,0
1785939501123806213,0
1785939501224873794,0
1785939501323925977,0
1785939501423759051,0
1785939501524632705,0
1785939501630043922,0
1785939501722085754,0
1785939501826962841,0
1785939501923093868,0
1785939502024584599,0
1785939502131957643,0
1785939502225164347,0
1785939502324471963,0
1785939502422102530,0
1785939502523694672,0
