t_ns,enabled
1785939482981205161,0
1785939483019277502,0
1785939483119535743,0
1785939483218598839,0
1785939483318939354,0
1785939483419609193,0
1785939483518845671,0
1785939483620455734,0
1785939483718970331,0
1785939483818999924,0
1785939483918448409,0
1785939484021382229,0
1785939484118776020,0
1785939484217802955,0
1785939484320054608,0
1785939484425542723,0
1785939484517745489,0
1785939484618914384,0
1785939484721962481,0
1785939484818400015,0
1785939484917517993,0
1785939485017945167,0
1785939485118330004,0
1785939485226461090,0
1785939485322319916,0
1785939485419149272,0
1785939485518415767,0
1785939485622823909,0
1785939485720731734,0
1785939485820493734,0
1785939485921114387,0
1785939486018874590,0
1785939486118037818,0
1785939486217460830,0
1785939486320066383,0
1785939486418527666,0
1785939486518282050,0
1785939486628084456,0
1785939486719434841,0
1785939486836176909,1
1785939486923195561,1
1785939487024465645,1
1785939487122878542,1
1785939487222128909,1
1785939487322955297,1
1785939487425032192,1
1785939487520644898,1
1785939487621208013,1
1785939487727055565,1
1785939487835327135,1
1785939487921849899,1
1785939488021582937,1
1785939488121902268,1
1785939488221411011,1
1785939488322366044,1
1785939488431657681,1
1785939488520473067,1
1785939488621371234,1
1785939488723218489,1
1785939488838324277,1
1785939488924748317,1
1785939489023190816,1
1785939489122399485,1
1785939489222055113,1
1785939489321353673,1
1785939489422693166,1
1785939489523523363,1
1785939489622581083,1
1785939489720842935,1
1785939489837621036,1
1785939489924299741,1
1785939490022043208,1
1785939490121719541,1
1785939490221445027,1
1785939490321996814,1
1785939490425519454,1
1785939490533506919,1
1785939490625608369,1
1785939490722643236,1
1785939490835860735,1
1785939490922495503,1
1785939491025528174,1
1785939491121451035,1
1785939491221110407,1
1785939491322976831,1
1785939491423656878,1
1785939491522360730,1
1785939491627607813,1
1785939491725688059,1
1785939491832756197,1
1785939491921736932,1
1785939492022586105,1
1785939492122156226,1
1785939492225898682,1
1785939492323392125,1
1785939492424595902,1
1785939492520787059,1
1785939492621153976,1
1785939492727703248,1
1785939492837458101,1
1785939492922700117,1
1785939493023173949,1
1785939493122703877,1
1785939493221484051,1
1785939493321958075,1
1785939493423400836,1
1785939493523167028,1
1785939493623353970,1
1785939493722497837,1
1785939493838557450,1
1785939493922239124,1
1785939494022279341,1
1785939494122374825,1
1785939494222924915,1
1785939494325453538,1
1785939494421079140,1
1785939494522384553,1
1785939494625126046,1
1785939494721742563,1
1785939494833186594,1
1785939494928787043,1
1785939495023329857,1
1785939495121527611,1
1785939495220961088,1
1785939495329389400,1
1785939495429220714,1
1785939495522180593,1
1785939495620768153,1
1785939495722725364,1
1785939495846322642,1
1785939495921443384,1
1785939496026886602,1
1785939496123015325,1
1785939496220534592,1
1785939496323553984,1
1785939496423594201,1
1785939496524395500,1
1785939496622750316,1
1785939496722667585,1
1785939496832260225,1
1785939496921686607,1
1785939497028913374,1
1785939497120620283,1
1785939497222239114,1
1785939497323344584,1
1785939497422146647,1
1785939497523840233,1
1785939497633127326,1
1785939497724600786,1
1785939497823604872,1
1785939497926284252,1
1785939498029034290,1
1785939498128128779,1
1785939498227805016,1
1785939498331575120,1
1785939498421689335,1
1785939498525612020,1
1785939498642948605,1
1785939498721729472,1
1785939498825640381,1
1785939498924193380,1
1785939499022793964,1
1785939499120790943,1
1785939499231009780,1
1785939499323819479,1
1785939499444333995,1
1785939499522849221,1
1785939499623901761,1
1785939499725501968,1
1785939499822866222,1
1785939499929398437,1
1785939500021464110,1
1785939500122096795,1
1785939500231205226,1
