t_ns,enabled
1785941064892007175,0
1785941064935545698,0
1785941065032624187,0
1785941065135188394,0
1785941065233648345,0
1785941065333074477,0
1785941065433842038,0
1785941065534397046,0
1785941065634246748,0
1785941065734747674,0
1785941065833033634,0
1785941065933068655,0
1785941066034907777,0
1785941066133252395,0
1785941066233625541,0
1785941066333552013,0
1785941066441532718,0
1785941066533114034,0
1785941066633072091,0
1785941066734108558,0
1785941066833428479,0
1785941066934157158,0
1785941067035545607,0
1785941067134341571,0
1785941067234788511,0
1785941067337020609,0
1785941067433989462,0
1785941067533318279,0
1785941067642254573,0
1785941067734209375,0
1785941067836692138,0
1785941067938914924,0
1785941068044064991,0
1785941068133959617,0
1785941068233362613,0
1785941068340096805,0
1785941068432933690,0
1785941068533989134,0
1785941068633525479,0
1785941068750490980,1
1785941068837726400,1
1785941068936225360,1
1785941069039697506,1
1785941069136930241,1
1785941069238301890,1
1785941069348085288,1
1785941069436197030,1
1785941069537560198,1
1785941069636931448,1
1785941069751145675,1
1785941069837502820,1
1785941069940406336,1
1785941070043523236,1
1785941070138619248,1
1785941070238477622,1
1785941070338926578,1
1785941070456861621,1
1785941070536614990,1
1785941070637755525,1
1785941070749640382,1
1785941070837146723,1
1785941070938619239,1
1785941071036870670,1
1785941071137444560,1
1785941071235873566,1
1785941071338274342,1
1785941071436828536,1
1785941071537302070,1
1785941071640553855,1
1785941071749272892,1
1785941071839316517,1
1785941071946271230,1
1785941072042287854,1
1785941072138221915,1
1785941072238045919,1
1785941072340054360,1
1785941072437597251,1
1785941072537490346,1
1785941072642006244,1
1785941072749068897,1
1785941072837050554,1
1785941072938853867,1
1785941073038035222,1
1785941073138316140,1
1785941073244690318,1
1785941073337927506,1
1785941073441913080,1
1785941073538049677,1
1785941073641098798,1
1785941073751471372,1
1785941073837994891,1
1785941073936768487,1
1785941074041892441,1
1785941074139688366,1
1785941074240482008,1
1785941074338086886,1
1785941074438130994,1
1785941074537749262,1
1785941074639006090,1
1785941074751041928,1
1785941074837733294,1
1785941074939069037,1
1785941075039468968,1
1785941075138522158,1
1785941075238717056,1
1785941075342254292,1
1785941075437237981,1
1785941075538783588,1
1785941075641380083,1
1785941075757939393,1
1785941075846041918,1
1785941075940324075,1
1785941076042998142,1
1785941076138495194,1
1785941076239593967,1
1785941076346372993,1
