t_ns,steering_tire_angle
1785941064914863711,0.0
1785941064933858688,0.0
1785941064954663816,0.0
1785941064976639517,0.0
1785941064994324524,0.0
1785941065013654907,0.0
1785941065034563942,0.0
1785941065057684040,0.0
1785941065073119647,0.0
1785941065094376569,0.0
1785941065113684199,0.0
1785941065134037661,0.0
1785941065156439427,0.0
1785941065174788971,0.0
1785941065194336610,0.0
1785941065222592235,0.0
1785941065234032968,0.0
1785941065253921580,0.0
1785941065273565415,0.0
1785941065293802296,0.0
1785941065313987560,0.0
1785941065334211257,0.0
1785941065354478092,0.0
1785941065373468174,0.0
1785941065394347576,0.0
1785941065413644070,0.0
1785941065436839850,0.0
1785941065453894945,0.0
1785941065478752070,0.0
1785941065493883921,0.0
1785941065514274633,0.0
1785941065535179381,0.0
1785941065554453633,0.0
1785941065573098965,0.0
1785941065595143917,0.0
1785941065613444020,0.0
1785941065634271164,0.0
1785941065653423524,0.0
1785941065673444014,0.0
1785941065694255222,0.0
1785941065713380700,0.0
1785941065733672560,0.0
1785941065757254436,0.0
1785941065773547644,0.0
1785941065794698898,0.0
1785941065813564494,0.0
1785941065836201661,0.0
1785941065854909972,0.0
1785941065873489829,0.0
1785941065894166824,0.0
1785941065914369592,0.0
1785941065935223362,0.0
1785941065954668661,0.0
1785941065973376492,0.0
1785941065997501908,0.0
1785941066014261727,0.0
1785941066034921761,0.0
1785941066053574742,0.0
1785941066073473434,0.0
1785941066093930517,0.0
1785941066113498732,0.0
1785941066134535453,0.0
1785941066154180504,0.0
1785941066175010337,0.0
1785941066194342480,0.0
1785941066213770338,0.0
1785941066234049749,0.0
1785941066253386660,0.0
1785941066273439407,0.0
1785941066297030019,0.0
1785941066314382405,0.0
1785941066334107266,0.0
1785941066354749924,0.0
1785941066374327388,0.0
1785941066393142711,0.0
1785941066413222402,0.0
1785941066443828487,0.0
1785941066453405275,0.0
1785941066473422980,0.0
1785941066493688887,0.0
1785941066513289680,0.0
1785941066534004436,0.0
1785941066553860855,0.0
1785941066574535642,0.0
1785941066594438527,0.0
1785941066613454721,0.0
1785941066634814079,0.0
1785941066654360598,0.0
1785941066673544799,0.0
1785941066694209537,0.0
1785941066713751512,0.0
1785941066735720301,0.0
1785941066753751849,0.0
1785941066773689359,0.0
1785941066793658262,0.0
1785941066813498937,0.0
1785941066834283648,0.0
1785941066853767668,0.0
1785941066873107299,0.0
1785941066894066033,0.0
1785941066913602952,0.0
1785941066934163878,0.0
1785941066954129389,0.0
1785941066973264116,0.0
1785941066993905814,0.0
1785941067013579826,0.0
1785941067034346680,0.0
1785941067054912439,0.0
1785941067073926425,0.0
1785941067100926417,0.0
1785941067113463288,0.0
1785941067134348003,0.0
1785941067154042240,0.0
1785941067173335117,0.0
1785941067205820442,0.0
1785941067213142327,0.0
1785941067235485754,0.0
1785941067254263763,0.0
1785941067274842066,0.0
1785941067293790354,0.0
1785941067313638581,0.0
1785941067333830309,0.0
1785941067358326012,0.0
1785941067374678263,0.0
1785941067393844255,0.0
1785941067413523707,0.0
1785941067434689329,0.0
1785941067454981925,0.0
1785941067473180072,0.0
1785941067494943989,0.0
1785941067513561480,0.0
1785941067534860675,0.0
1785941067554154640,0.0
1785941067573819115,0.0
1785941067593928408,0.0
1785941067614467094,0.0
1785941067634161682,0.0
1785941067653824942,0.0
1785941067673709394,0.0
1785941067694944715,0.0
1785941067718709477,0.0
1785941067734512171,0.0
1785941067753788631,0.0
1785941067773642074,0.0
1785941067794323581,0.0
1785941067813496806,0.0
1785941067834271276,0.0
1785941067853806787,0.0
1785941067873822892,0.0
1785941067893802740,0.0
1785941067913397293,0.0
1785941067934281848,0.0
1785941067954247743,0.0
1785941067973399559,0.0
1785941067994729251,0.0
1785941068017852069,0.0
1785941068034862649,0.0
