t_ns,reverse
1785945590396593764,0
1785945590496671480,0
1785945590610170494,0
1785945590698684697,0
1785945590798552295,0
1785945590896884807,0
1785945590998931862,0
1785945591097412698,0
1785945591200137726,0
1785945591296545220,0
1785945591396721148,0
1785945591496759151,0
1785945591596728480,0
1785945591697678670,0
1785945591797874310,0
1785945591898954201,0
1785945591996150039,0
1785945592098262056,0
1785945592196905937,0
1785945592298788092,0
1785945592395867542,0
1785945592496992778,0
1785945592599728654,0
1785945592698932584,0
1785945592802185787,0
1785945592896886767,0
1785945592999237255,0
1785945593112457029,0
1785945593205370755,0
1785945593296659472,0
1785945593408281438,0
1785945593500302433,0
1785945593598233077,0
1785945593697191752,0
1785945593801292340,0
1785945593897250541,0
1785945594002026062,0
1785945594115887775,1
1785945594201455553,1
1785945594303229064,1
1785945594401341218,1
1785945594507492492,1
1785945594605339358,1
1785945594705364720,1
1785945594801591505,1
1785945594904103887,1
1785945595004251013,1
1785945595117844590,1
1785945595202751260,1
1785945595308951592,1
1785945595405064997,1
1785945595502083902,1
1785945595603350646,1
1785945595701062691,1
1785945595803822216,1
1785945595902599381,1
1785945596002891248,1
1785945596114566432,1
1785945596209458009,1
1785945596301538366,1
1785945596402953210,1
1785945596503138033,1
1785945596604201091,1
1785945596704346138,1
1785945596802007462,1
1785945596902394851,1
1785945597003750494,1
1785945597116102338,1
1785945597211055612,1
1785945597303179683,1
1785945597402225464,1
1785945597503488560,1
1785945597601097850,1
1785945597703905216,1
1785945597812876351,1
1785945597901545310,1
1785945598004960886,1
1785945598114068857,1
1785945598203449293,1
1785945598302803211,1
1785945598403172328,1
1785945598503754092,1
1785945598601938343,1
1785945598703741935,1
1785945598802702402,1
1785945598915040486,1
1785945599003021840,1
1785945599116671066,1
1785945599204805001,1
1785945599302526839,1
1785945599402686958,1
1785945599503164878,1
1785945599610585054,1
1785945599701921453,1
1785945599803975004,1
1785945599906286035,1
1785945600003782139,1
1785945600115251588,1
1785945600201022540,1
1785945600302350758,1
1785945600401378875,1
1785945600507087671,1
1785945600601152568,1
1785945600704804119,1
1785945600801269791,1
1785945600903393969,1
1785945601002623756,1
1785945601116964107,1
1785945601205477925,1
1785945601301445790,1
1785945601405126463,1
1785945601503210327,1
1785945601602346671,1
1785945601703530469,1
1785945601802793633,1
1785945601902038332,1
1785945602000895788,1
1785945602120163647,1
1785945602203530271,1
1785945602303109956,1
1785945602403062005,1
1785945602505071235,1
1785945602604572678,1
1785945602702368214,1
1785945602804575946,1
1785945602902512798,1
1785945603015794942,1
1785945603119436701,1
1785945603202183914,1
1785945603304291164,1
1785945603401248274,1
1785945603504439844,1
1785945603603948615,1
1785945603703899832,1
1785945603802374844,1
1785945603903002177,1
1785945604003118486,1
1785945604118585207,1
1785945604205225881,1
1785945604303480887,1
1785945604403130975,1
1785945604514476548,1
1785945604603559280,1
1785945604704181428,1
1785945604808517512,1
1785945604903670345,1
1785945605003153835,1
1785945605105567974,1
1785945605212055770,1
1785945605302977788,1
1785945605403865001,1
1785945605503301962,1
1785945605605266871,1
1785945605704934527,1
1785945605803377570,1
1785945605908582256,1
1785945606001725813,1
1785945606118964651,1
1785945606201494930,1
1785945606304672131,1
1785945606411657638,1
1785945606503995378,1
1785945606613664614,1
1785945606708015535,1
1785945606804527896,1
1785945606903894519,1
1785945607009535570,1
1785945607103600979,1
1785945607203213689,1
1785945607310299423,1
1785945607416907639,1
1785945607503943141,1
1785945607609081489,1
1785945607714099737,1
1785945607804054494,1
1785945607903500960,1
1785945608002178986,1
1785945608105023889,1
1785945608201092269,1
1785945608303212255,1
1785945608402387384,1
1785945608504262402,1
1785945608604488603,1
1785945608708678635,1
1785945608804649604,1
1785945608901446390,1
1785945609002323330,1
1785945609107884347,1
1785945609202529708,1
1785945609312744144,1
1785945609401684727,1
1785945609506981512,1
1785945609601432083,1
1785945609704167831,1
1785945609801545435,1
1785945609903025881,1
1785945610014567109,1
1785945610102697651,1
1785945610202046866,1
1785945610312183059,1
1785945610402265884,1
1785945610500960679,1
1785945610601990872,1
1785945610704116362,1
1785945610802903447,1
1785945610903060846,1
1785945611006550249,1
1785945611102694247,1
1785945611204362635,1
1785945611307738658,1
1785945611401845252,1
1785945611503415813,1
1785945611602291061,1
1785945611707871150,1
1785945611803597856,1
1785945611902751929,1
1785945612001650058,1
1785945612104673846,1
1785945612203054456,1
1785945612301465562,1
1785945612402306917,1
1785945612521291984,1
1785945612603276839,1
1785945612704012751,1
1785945612803552915,1
1785945612903172825,1
1785945613005076388,1
1785945613103163421,1
1785945613204217967,1
1785945613302774421,1
1785945613402218839,1
1785945613505768595,1
1785945613604002512,1
1785945613703249036,1
1785945613801729232,1
1785945613902701439,1
1785945614001821335,1
1785945614104239377,1
1785945614202162789,1
1785945614302036947,1
1785945614403263562,1
1785945614505175413,1
1785945614601569787,1
1785945614703049594,1
1785945614804918372,1
1785945614914756924,1
1785945615002845545,1
1785945615103565393,1
1785945615206587549,1
1785945615302872032,1
1785945615404517411,1
1785945615501939848,1
1785945615621412321,1
1785945615701988974,1
1785945615802354347,1
1785945615903806184,1
1785945616007750416,1
1785945616128391564,1
1785945616202456726,1
1785945616315686740,1
1785945616413738187,1
1785945616505294817,1
1785945616602294073,1
1785945616703856634,1
1785945616802263420,1
1785945616903917983,1
1785945617006481470,1
1785945617101887143,1
1785945617226529786,1
1785945617304787809,1
1785945617401721656,1
1785945617502334236,1
1785945617601345680,1
1785945617704605060,1
