t_ns,v0,v1
1785948350053559751,-0.22980040311813354,-1.0
1785948350153532202,-0.22956518828868866,-1.0
1785948350253935546,-0.2294178307056427,-1.0
1785948350352705754,-0.2302454710006714,-1.0
1785948350452828865,-0.23069064319133759,-1.0
1785948350552929736,-0.23069064319133759,-1.0
1785948350652606338,-0.22956915199756622,-1.0
1785948350752917200,-0.22956915199756622,-1.0
1785948350853377025,-0.2298164665699005,-1.0
1785948350953715759,-0.22998613119125366,-1.0
1785948351053646129,-0.23059840500354767,-1.0
1785948351154876282,-0.23094506561756134,-1.0
1785948351253377841,-0.23094506561756134,-1.0
1785948351354622874,-0.230538010597229,-1.0
1785948351452814120,-0.230538010597229,-1.0
1785948351553898445,-0.2310064136981964,-1.0
1785948351654184025,-0.2310064136981964,-1.0
1785948351753197600,-0.23079779744148254,-1.0
1785948351852850713,-0.2306683510541916,-1.0
1785948351956514058,-0.2305345982313156,-1.0
1785948352052767039,-0.23045426607131958,-1.0
1785948352153943430,-0.23009470105171204,-1.0
1785948352253801189,-0.2298630326986313,-1.0
1785948352361200550,-0.2298630326986313,-1.0
1785948352452847825,-0.22973641753196716,-1.0
1785948352552610734,-0.22973641753196716,-1.0
1785948352659775079,-0.23009595274925232,-1.0
1785948352754356618,-0.2303284853696823,-1.0
1785948352852889890,-0.230690598487854,-1.0
1785948352953339827,-0.23091678321361542,-1.0
1785948353053397849,-0.23091678321361542,-1.0
1785948353163538411,-0.23017899692058563,-1.0
1785948353259226063,-0.2297443300485611,-1.0
1785948353353777680,-0.2297443300485611,-1.0
1785948353455439494,-0.2297443300485611,-1.0
1785948353557634667,-0.22980892658233643,-1.0
1785948353655952893,-0.22980892658233643,-1.0
1785948353754876321,-0.22983458638191223,-1.0
1785948353853857830,-0.22987161576747894,-1.0
1785948353956052972,0.4363323152065277,-1.0
1785948354055846858,0.4363323152065277,-1.0
1785948354154967699,0.4363323152065277,-1.0
1785948354255312098,0.4363323152065277,-1.0
1785948354366913471,0.4363323152065277,-1.0
1785948354454863516,0.409495085477829,-1.0
1785948354555522036,0.2941560745239258,-1.0
1785948354654759393,0.2054448425769806,-1.0
1785948354754563615,0.12493254989385605,-1.0
1785948354865397382,0.10265552997589111,-1.0
1785948354957296536,0.08313721418380737,-1.0
1785948355059809767,0.0966285690665245,-1.0
1785948355153591186,0.0435151569545269,-1.0
1785948355255297001,0.07949280738830566,-1.0
1785948355354056104,0.11345992982387543,-1.0
1785948355453189042,0.321969598531723,-1.0
1785948355557994309,0.3111601173877716,-1.0
1785948355655889450,0.4363323152065277,-1.0
1785948355756519681,0.4363323152065277,-1.0
1785948355859223221,0.4363323152065277,-1.0
1785948355958278365,0.4111042022705078,-1.0
1785948356061234297,0.4363323152065277,-1.0
1785948356154333168,0.4363323152065277,-1.0
1785948356254692062,0.290321409702301,-1.0
1785948356356098764,0.42624253034591675,-1.0
1785948356455728133,0.07568953186273575,-1.0
1785948356556184183,0.009793617762625217,-1.0
1785948356658238104,0.15961532294750214,-1.0
1785948356755174400,-0.10255962610244751,-1.0
1785948356862976333,-0.12960170209407806,-1.0
1785948356959763985,-0.3154003918170929,-1.0
1785948357059095585,-0.1557629406452179,-1.0
1785948357155271795,-0.4363323152065277,-1.0
1785948357255040016,-0.4363323152065277,-1.0
1785948357354773484,-0.3868899941444397,-1.0
1785948357463067335,-0.4363323152065277,-1.0
1785948357554588815,-0.4363323152065277,-1.0
1785948357655115490,-0.4363323152065277,-1.0
1785948357757244710,-0.4363323152065277,-1.0
1785948357856681401,-0.4363323152065277,-1.0
1785948357953176596,-0.4363323152065277,-1.0
1785948358062248743,-0.4363323152065277,-1.0
1785948358154490884,-0.4363323152065277,-1.0
1785948358252653425,-0.4363323152065277,-1.0
1785948358356427845,-0.4363323152065277,-1.0
1785948358453277195,-0.4363323152065277,-1.0
1785948358553863873,-0.4363323152065277,-1.0
1785948358652026158,-0.4363323152065277,-1.0
1785948358754125360,-0.4363323152065277,-1.0
1785948358860055781,-0.4363323152065277,-1.0
1785948358952368836,-0.4363323152065277,-1.0
1785948359052272933,-0.4363323152065277,-1.0
1785948359152828378,-0.4363323152065277,-1.0
1785948359254208743,-0.4363323152065277,-1.0
1785948359352619035,-0.4363323152065277,-1.0
1785948359454046986,-0.4363323152065277,-1.0
1785948359554764707,-0.4363323152065277,-1.0
1785948359652495779,-0.4363323152065277,-1.0
1785948359753249214,-0.4363323152065277,-1.0
1785948359853390534,-0.4363323152065277,-1.0
1785948359955286242,-0.4363323152065277,-1.0
1785948360052824605,-0.4363323152065277,-1.0
1785948360153631385,-0.4363323152065277,-1.0
1785948360265984749,-0.4363323152065277,-1.0
1785948360352895147,-0.4363323152065277,-1.0
1785948360453775177,-0.4363323152065277,-1.0
1785948360556958860,-0.4363323152065277,-1.0
1785948360653999416,-0.4363323152065277,-1.0
1785948360753816630,-0.4363323152065277,-1.0
1785948360853656406,-0.4363323152065277,-1.0
1785948360954627670,-0.4363323152065277,-1.0
1785948361054344434,-0.4363323152065277,-1.0
1785948361159512144,-0.2693628668785095,-1.0
1785948361261238343,-0.309050053358078,-1.0
1785948361359230575,-0.18220624327659607,-1.0
1785948361456208505,-0.06124625727534294,-1.0
1785948361554245763,-0.4363323152065277,-1.0
1785948361656734545,0.15578453242778778,-1.0
1785948361755422062,-0.42148491740226746,-1.0
1785948361865771910,-0.4363323152065277,-1.0
1785948361955100588,0.3096417486667633,-1.0
1785948362054086994,0.3593945801258087,-1.0
1785948362157607583,-0.08353164792060852,-1.0
1785948362255033270,0.07543899118900299,-1.0
1785948362356623305,0.14549601078033447,-1.0
1785948362455951801,0.08815242350101471,-1.0
1785948362554233418,0.0894458070397377,-1.0
1785948362654068297,0.285320907831192,-1.0
1785948362759671540,0.3651658892631531,-1.0
1785948362854867625,0.14288294315338135,-1.0
1785948362954674471,0.4363323152065277,-1.0
1785948363054612073,0.43457576632499695,-1.0
1785948363154972152,0.3296653926372528,-1.0
1785948363253807769,0.4363323152065277,-1.0
1785948363354980384,0.4363323152065277,-1.0
1785948363453630204,0.4363323152065277,-1.0
1785948363553920584,0.4363323152065277,-1.0
1785948363656005642,0.4363323152065277,-1.0
1785948363754618693,0.4363323152065277,-1.0
1785948363860982439,0.4363323152065277,-1.0
1785948363953447402,0.4363323152065277,-1.0
1785948364055514604,0.4363323152065277,-1.0
1785948364157737778,0.4363323152065277,-1.0
1785948364255671352,0.4363323152065277,-1.0
1785948364358715223,0.4363323152065277,-1.0
1785948364456451287,0.4363323152065277,-1.0
1785948364563049344,0.4363323152065277,-1.0
1785948364653699373,0.4363323152065277,-1.0
1785948364755890515,0.4363323152065277,-1.0
1785948364855389640,0.4363323152065277,-1.0
1785948364956803350,0.4363323152065277,-1.0
1785948365057198597,0.4363323152065277,-1.0
1785948365153321366,0.4363323152065277,-1.0
1785948365264959413,0.4363323152065277,-1.0
1785948365360875199,0.4363323152065277,-1.0
1785948365453408164,0.4363323152065277,-1.0
1785948365574929258,0.4363323152065277,-1.0
1785948365654012894,0.4363323152065277,-1.0
1785948365755452397,0.4363323152065277,-1.0
1785948365858340455,0.4363323152065277,-1.0
1785948365955545240,0.4363323152065277,-1.0
1785948366057856833,0.4363323152065277,-1.0
1785948366154010162,0.4363323152065277,-1.0
1785948366255085974,0.4363323152065277,-1.0
1785948366357325053,0.4363323152065277,-1.0
1785948366459035028,0.4345160722732544,-1.0
1785948366556281893,0.4363323152065277,-1.0
1785948366655089030,0.3604905605316162,-1.0
1785948366754391189,0.30476799607276917,-1.0
1785948366854305174,0.39179572463035583,-1.0
1785948366957309492,0.1022917777299881,-1.0
1785948367056549473,-0.010257748886942863,-1.0
1785948367155331009,0.21390411257743835,-1.0
1785948367254896184,-0.22708365321159363,-1.0
1785948367355213765,-0.4363323152065277,-1.0
1785948367473607693,-0.28691181540489197,-1.0
1785948367554867587,-0.4363323152065277,-1.0
1785948367653891242,-0.4363323152065277,-1.0
1785948367754501536,-0.38338661193847656,-1.0
1785948367855088277,-0.4363323152065277,-1.0
1785948367955450564,-0.4363323152065277,-1.0
1785948368052741431,-0.4363323152065277,-1.0
1785948368153495634,-0.4363323152065277,-1.0
1785948368254606967,-0.4363323152065277,-1.0
1785948368359927257,-0.4363323152065277,-1.0
