x,y
2.947860000000000014e+01,-2.401399999999998158e+01
2.946057164830916264e+01,-2.354751639999953738e+01
2.944247413805932467e+01,-2.308127320439788122e+01
2.942442104766988820e+01,-2.261465710845831723e+01
2.940638677555351066e+01,-2.214802031744708444e+01
2.938833328298718683e+01,-2.168192329015417741e+01
2.937028873504406690e+01,-2.121534398468774540e+01
2.935223114669670252e+01,-2.074915064268013509e+01
2.933416338767188947e+01,-2.028262675181494146e+01
2.931611333472027425e+01,-1.981597628588709981e+01
2.929806808589959743e+01,-1.934960138914293282e+01
2.927998714527361557e+01,-1.888323566938349884e+01
2.926193602824835693e+01,-1.841672598092624469e+01
2.924391422435779475e+01,-1.795041180525799263e+01
2.922582470182135950e+01,-1.748388311754907321e+01
2.920775697321607112e+01,-1.701731254149890660e+01
2.918991558006442233e+01,-1.655073370690013235e+01
2.917223065457130105e+01,-1.608416248215913313e+01
2.915411925538078464e+01,-1.561770218390690523e+01
2.913545724594219877e+01,-1.515106554185522469e+01
2.911527400781990593e+01,-1.468449077492974197e+01
2.909311236220554164e+01,-1.421845683400946037e+01
2.906881070994480609e+01,-1.375220475014815591e+01
2.904260878484336672e+01,-1.328613113434426474e+01
2.901505085321930366e+01,-1.282018418219938560e+01
2.898709076520404437e+01,-1.235429290493425114e+01
2.895847268507406724e+01,-1.188833424011144047e+01
2.892953589370137024e+01,-1.142229290012577181e+01
2.890107920574070732e+01,-1.095665914617045900e+01
2.887268065635862513e+01,-1.049064914165189499e+01
2.884420229479983533e+01,-1.002451384193435047e+01
2.881573637850132030e+01,-9.558837761673004252e+00
2.878731912285164185e+01,-9.092946192682830997e+00
2.875886908673383857e+01,-8.626949360186788596e+00
2.873040332615814663e+01,-8.161250458935032981e+00
2.870195369456213541e+01,-7.695095444005418450e+00
2.867353192832738884e+01,-7.229267693471013168e+00
2.864554901070142634e+01,-6.763309447114307815e+00
2.861827916255142412e+01,-6.297106074961588362e+00
2.859047040947700680e+01,-5.831347385935691463e+00
2.855972417117030204e+01,-5.365576409907323097e+00
2.852269594538677921e+01,-4.900618602335502949e+00
2.847612082414847379e+01,-4.436516458855928491e+00
2.841699908242828343e+01,-3.974882743707776278e+00
2.834270388632014104e+01,-3.516483396158011310e+00
2.825119578290092548e+01,-3.062579488842870568e+00
2.813972188994662815e+01,-2.614336426479566544e+00
2.799790334534795733e+01,-2.174781702305700115e+00
2.781106648536546544e+01,-1.750035097221041225e+00
2.757444937116907369e+01,-1.348460400244862134e+00
2.728771454967839816e+01,-9.813018506288255782e-01
2.695291888835190619e+01,-6.598843481920715348e-01
2.658067467247847304e+01,-3.893704796855359529e-01
2.618224385034342561e+01,-1.683037341237330065e-01
2.576687774840807776e+01,5.805006138995927323e-03
2.533977199785650569e+01,1.452987986796469011e-01
2.490463643526746651e+01,2.846997546987611871e-01
2.446167112708977243e+01,4.070566000447837229e-01
2.401216412005497602e+01,5.126546496202398773e-01
2.355744980519448717e+01,6.029615334331128729e-01
2.309862715110436326e+01,6.785539971685397020e-01
2.263672622240375532e+01,7.394424285232918947e-01
2.217270105966176175e+01,7.849453047676523409e-01
2.170755628536246462e+01,8.164844751694148028e-01
2.124206216141855919e+01,8.371166434226001707e-01
2.077844921412687285e+01,8.277165263865831069e-01
2.031562884634408306e+01,8.133427382526318139e-01
1.985313340550775507e+01,7.971824464890211459e-01
1.939054047072330889e+01,7.811563225071843641e-01
1.892814709875632673e+01,7.657195005252440678e-01
1.846559776751065840e+01,7.505385738098239168e-01
1.800300497962237856e+01,7.353904230241219420e-01
1.754028236115930639e+01,7.202167892177894215e-01
1.707754341568526613e+01,7.050932045272798598e-01
1.661524393495633234e+01,6.899485383233732172e-01
1.615353731902545320e+01,6.746917621707261281e-01
1.569087043468307741e+01,6.597693117866630930e-01
1.522755307981449491e+01,6.449725930628784631e-01
1.476403370747075527e+01,6.299398526996384806e-01
1.430051622079215790e+01,6.143823016908905865e-01
1.383704694180235961e+01,5.981274979177303441e-01
1.337290451280903447e+01,5.584761896938607029e-01
1.290851692019503716e+01,5.169585951140651670e-01
1.244412907957138970e+01,4.752174822625540029e-01
1.197966630049607417e+01,4.330016133305738535e-01
1.151524992067743369e+01,3.901407705886822397e-01
1.105094367239926356e+01,3.466164346281942477e-01
1.058483549835113813e+01,3.238422462561816317e-01
1.011839869899427136e+01,3.039365048032383054e-01
9.651779296504813033e+00,2.831726672897376673e-01
9.185203872318407292e+00,2.620352951315692014e-01
8.718596061583195223e+00,2.411458168909298427e-01
8.251927065010788098e+00,2.203355935042318192e-01
7.785256188623907114e+00,1.995267960836923926e-01
7.318616775039373579e+00,1.787872441536741963e-01
6.852056998967229973e+00,1.579917058012165754e-01
6.385493659569062785e+00,1.371816295762006144e-01
5.918888703302203069e+00,1.164278046275158962e-01
5.452218211719728203e+00,9.565091096282973826e-02
4.985527149168594185e+00,7.483412755577023567e-02
4.518830094242067830e+00,5.405385862564660027e-02
4.052174297312524764e+00,3.330003862512720403e-02
3.585571813984117284e+00,1.248744423927583558e-02
3.118930808720533854e+00,-8.303760446199515144e-03
2.652236833872617439e+00,-2.906461101717827678e-02
2.185536718954008251e+00,-4.986292763999566890e-02
1.718837415229163224e+00,-7.065879714910550113e-02
1.252138437730099474e+00,-9.143809534548907880e-02
7.854545604400117176e-01,-1.122163623125207454e-01
3.188183708301525199e-01,-1.330113713547468324e-01
-1.478191480798677349e-01,-1.537946904791110958e-01
-6.144968716798553388e-01,-1.745799389768583065e-01
-1.081163388263335801e+00,-1.953617797595285088e-01
-1.547826254132678381e+00,-2.161449634294727584e-01
-2.014492479282547599e+00,-2.369491706816091448e-01
-2.481170745843276570e+00,-2.577126654563309804e-01
-2.947815114447007723e+00,-2.784934842262430932e-01
-3.414380589657635579e+00,-2.993040309900298901e-01
-3.881062638729862790e+00,-3.200775463703536827e-01
-4.347727003323695882e+00,-3.408378327899095339e-01
-4.814386582268134873e+00,-3.616537137542132907e-01
-5.281018614214334050e+00,-3.824460650719679888e-01
-5.747703395870204623e+00,-4.031843774889233289e-01
-6.214392292380983562e+00,-4.240016889832450286e-01
-6.680983422862835752e+00,-4.448092987705710710e-01
-7.147592971955917918e+00,-4.655441926184585300e-01
-7.614235178802776005e+00,-4.863438117665668803e-01
-8.080921101532858586e+00,-5.071621410985645007e-01
-8.547625253604392626e+00,-5.279631034467012762e-01
-9.014255927871378304e+00,-5.486955081308331206e-01
-9.480699999999998795e+00,-5.695000000000000062e-01
