run_id,algo,direction,obs,reward,seed,timesteps,completion,trailer_cte,max_hitch,jackknife,ep_return,n_episodes
td3__forward__state__dense__s0,td3,forward,state,dense,0,100000,0.0,1.9970061794641212,1.1757454139574262,0.00727069351230425,-812.9525297468408,1788
td3__forward__state__dense__s0,td3,forward,state,dense,0,200000,0.95703125,0.6076168273395023,0.22751465172041208,0.0,283.40576770556163,256
td3__forward__state__dense__s0,td3,forward,state,dense,0,300000,0.9922480620155039,1.7586488411333154,0.17911404605175174,0.0,-859.843358380322,258
td3__forward__state__dense__s0,td3,forward,state,dense,0,400000,1.0,0.5644151957886727,0.12939372638356872,0.0,498.93450223790455,256
td3__forward__state__dense__s0,td3,forward,state,dense,0,500000,1.0,0.34512965363896775,0.1271790915634483,0.0,607.6816693464375,256
td3__forward__state__dense__s1,td3,forward,state,dense,1,100000,0.0,0.8735472159886679,0.6378312742501989,0.0,-496.9320792458764,2062
td3__forward__state__dense__s1,td3,forward,state,dense,1,200000,0.04813664596273292,0.9228030641050975,0.5755504760544122,0.0,-464.9718133863036,644
td3__forward__state__dense__s1,td3,forward,state,dense,1,300000,1.0,0.42622110823761394,0.13094155309954658,0.0,545.509015352457,256
td3__forward__state__dense__s1,td3,forward,state,dense,1,400000,1.0,0.643592390847554,0.13824616599595174,0.0,455.14062779493884,256
td3__forward__state__dense__s1,td3,forward,state,dense,1,500000,1.0,0.27453121293002025,0.10699264550567023,0.0,606.4503989601565,256
td3__forward__state__dense__s2,td3,forward,state,dense,2,100000,0.0,1.0567055264338345,0.7780955281159649,0.0,-488.7205346980587,3650
td3__forward__state__dense__s2,td3,forward,state,dense,2,200000,0.0,0.9513589895578201,0.6992098406619496,0.0,-487.13351425858303,900
td3__forward__state__dense__s2,td3,forward,state,dense,2,300000,0.0,1.5825949546496247,0.6299917746218853,0.0,-1384.2658392262933,512
td3__forward__state__dense__s2,td3,forward,state,dense,2,400000,0.9730769230769231,0.9091184340021286,0.13606939752801106,0.0,237.96826146855435,260
td3__forward__state__dense__s2,td3,forward,state,dense,2,500000,1.0,0.8270050858863003,0.17183379124617204,0.0,373.3593230641706,256
td3__forward__state__tractor_focus__s0,td3,forward,state,tractor_focus,0,100000,0.0,1.0014822776100205,0.5746693394176204,0.0,-547.332896062643,1206
td3__forward__state__tractor_focus__s0,td3,forward,state,tractor_focus,0,200000,0.0,1.2883855912804685,0.599406509555776,0.0,-697.6285877911337,892
td3__forward__state__tractor_focus__s0,td3,forward,state,tractor_focus,0,300000,1.0,0.9596812419316743,0.4335702059324831,0.0,360.33752608362533,256
td3__forward__state__tractor_focus__s0,td3,forward,state,tractor_focus,0,400000,1.0,0.8749962916464381,0.34104025980923325,0.0,417.25485048283645,256
td3__forward__state__tractor_focus__s0,td3,forward,state,tractor_focus,0,500000,1.0,0.8153919995847497,0.34764493396505713,0.0,483.9872755032143,256
td3__forward__state__tractor_focus__s1,td3,forward,state,tractor_focus,1,100000,0.0,1.832325212395356,0.7826176869067307,0.0,-773.01212287369,1546
td3__forward__state__tractor_focus__s1,td3,forward,state,tractor_focus,1,200000,0.5555555555555556,1.0761643859483045,0.380713252723217,0.0,-192.71950981075892,360
td3__forward__state__tractor_focus__s1,td3,forward,state,tractor_focus,1,300000,1.0,0.8638668721203739,0.13929583280696534,0.0,361.7014486941439,256
td3__forward__state__tractor_focus__s1,td3,forward,state,tractor_focus,1,400000,1.0,0.45200551118393484,0.13892066132393666,0.0,572.3259222188562,256
td3__forward__state__tractor_focus__s1,td3,forward,state,tractor_focus,1,500000,1.0,0.38289269272817017,0.14132469949981896,0.0,613.5034227310534,256
td3__forward__state__tractor_focus__s2,td3,forward,state,tractor_focus,2,100000,0.0,1.1559545654850578,0.8092122999160049,0.0,-483.2979178570388,3908
td3__forward__state__tractor_focus__s2,td3,forward,state,tractor_focus,2,200000,0.0,0.9012217724565449,0.5982673981059821,0.0,-594.9501986262362,1248
td3__forward__state__tractor_focus__s2,td3,forward,state,tractor_focus,2,300000,1.0,0.9059344187428537,0.1346419842884643,0.0,267.6374433733069,256
td3__forward__state__tractor_focus__s2,td3,forward,state,tractor_focus,2,400000,1.0,0.8137815187265298,0.1276986192970071,0.0,368.42121667436277,256
td3__forward__state__tractor_focus__s2,td3,forward,state,tractor_focus,2,500000,1.0,0.6597521123511276,0.1319770155241713,0.0,527.2190474849886,256
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,100000,0.0,1.1581242596730819,0.6913301840534917,0.0,-464.11551777554837,4050
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,200000,0.0009124087591240876,1.3357151206486924,0.6705923901367796,0.0,-465.16418026923435,1096
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,300000,1.0,1.097589350670592,0.16022366980905645,0.0,364.0722045736293,256
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,400000,1.0,0.84013723581831,0.13808593661815394,0.0,416.9275471406472,256
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,500000,1.0,0.6329657764297489,0.1537118258420378,0.0,491.5882553823758,256
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,100000,0.0,0.9596379667840816,0.9819018390989083,0.0,-325.0548767185166,862
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,200000,0.6815476190476191,0.686142964843992,0.31487547867332716,0.0,290.60139749201636,336
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,300000,0.9302325581395349,1.7355151249880467,0.14746870743038581,0.0,106.91985987492498,258
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,400000,1.0,0.29489617926206685,0.11949565759277903,0.0,761.8037375328131,256
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,500000,1.0,0.41225141897468254,0.12291078935959376,0.0,654.7659675877076,256
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,100000,0.0,1.1015378667306155,0.8179075518724672,0.005807200929152149,-402.53518971629927,861
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,200000,0.7808219178082192,1.337539539744649,0.2186210531460708,0.0,119.63343921385878,292
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,300000,1.0,0.6619214295169047,0.17917914726422168,0.0,499.7004142265614,256
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,400000,1.0,0.535440029301056,0.14237604099616874,0.0,551.8941344765481,256
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,500000,1.0,0.42698615963267555,0.1564272950636223,0.0,645.3817425064335,256
td3__forward__state__guided__s0,td3,forward,state,guided,0,100000,0.39920948616600793,0.8086980944241533,0.6976102693043208,0.0,-417.39905844892644,506
td3__forward__state__guided__s0,td3,forward,state,guided,0,200000,0.01072961373390558,1.0828777058929937,0.3566157542520838,0.0,-802.8806015596837,466
td3__forward__state__guided__s0,td3,forward,state,guided,0,300000,1.0,0.32139711789877656,0.14551288228722115,0.0,-38.30175441993747,256
td3__forward__state__guided__s0,td3,forward,state,guided,0,400000,1.0,0.3318056742047582,0.1260707012115745,0.0,-36.73741214058332,256
td3__forward__state__guided__s0,td3,forward,state,guided,0,500000,1.0,0.3560921167977437,0.15743393180309795,0.0,-101.45736040094047,256
td3__forward__state__guided__s1,td3,forward,state,guided,1,100000,0.0,1.6864519988198512,0.8616476399412127,0.0,-719.3430612892236,1022
td3__forward__state__guided__s1,td3,forward,state,guided,1,200000,0.0011737089201877935,1.5277208811690537,0.7510305745920665,0.0,-676.5808578267144,852
td3__forward__state__guided__s1,td3,forward,state,guided,1,300000,0.9382239382239382,0.9845046475748336,0.3347759238196156,0.0,-143.28043623135088,259
td3__forward__state__guided__s1,td3,forward,state,guided,1,400000,1.0,0.7582333804032464,0.19003749190596864,0.0,-110.33411227758714,256
td3__forward__state__guided__s1,td3,forward,state,guided,1,500000,1.0,0.5236059174052401,0.15733229581383057,0.0,-129.63702277495992,256
td3__forward__state__guided__s2,td3,forward,state,guided,2,100000,0.006734006734006734,0.8415457271096659,0.3516325502333416,0.0,-736.3417344718378,594
td3__forward__state__guided__s2,td3,forward,state,guided,2,200000,0.5677083333333334,0.6256820961925805,0.3150578308074425,0.0,-364.81723659469964,384
td3__forward__state__guided__s2,td3,forward,state,guided,2,300000,1.0,0.6944166498155544,0.1360751809552312,0.0,-152.9126389602124,256
td3__forward__state__guided__s2,td3,forward,state,guided,2,400000,1.0,0.2628773719380192,0.10919498684961582,0.0,2.8584000336354833,256
td3__forward__state__guided__s2,td3,forward,state,guided,2,500000,1.0,0.2541283038563082,0.09889111427764874,0.0,18.558550266718107,256
dqn__forward__state__dense__s0,dqn,forward,state,dense,0,100000,1.0,0.2237120958677793,0.10226418419915717,0.0,582.9834520561576,256
dqn__forward__state__dense__s0,dqn,forward,state,dense,0,200000,1.0,0.21147154482414515,0.09823821449026582,0.0,632.2071051101666,256
dqn__forward__state__dense__s0,dqn,forward,state,dense,0,300000,1.0,0.2370428723624993,0.07443377131858142,0.0,634.7865859228186,256
dqn__forward__state__dense__s0,dqn,forward,state,dense,0,400000,1.0,0.2545259927223035,0.11960661627381342,0.0,619.0490335523664,256
dqn__forward__state__dense__s0,dqn,forward,state,dense,0,500000,1.0,1.2366008490769698,0.19621944492973853,0.0,39.8702723941307,256
dqn__forward__state__dense__s1,dqn,forward,state,dense,1,100000,1.0,0.32289427310185626,0.09382330367952818,0.0,556.4970930071352,256
dqn__forward__state__dense__s1,dqn,forward,state,dense,1,200000,1.0,0.5866832500311375,0.11649324084282853,0.0,540.6230632541701,256
dqn__forward__state__dense__s1,dqn,forward,state,dense,1,300000,0.9961089494163424,0.44248393927557006,0.09864675651525477,0.0,487.6833825887617,257
