algo,direction,obs,reward,n_seeds,completion_mean,completion_ci95,trailer_cte_mean,trailer_cte_ci95,max_hitch_mean,max_hitch_ci95,jackknife_mean,jackknife_ci95,ep_return_mean,ep_return_ci95,steps_to_threshold_mean
dqn,forward,state,dense,3,1.0,0.0,0.2491485341816452,0.07227655239612644,0.09140294218013878,0.009408199215461495,0.0,0.0,608.5230181345806,51.05347067587018,100000.0
dqn,forward,state,guided,3,0.571250204988297,0.5752094145074588,0.949487960257189,1.1473960282178572,0.23957423496698957,0.14692292885953884,0.0,0.0,-416.0957856998798,493.7872646247492,100000.0
dqn,forward,state,multiplicative,3,0.8152555782275154,0.19213213552582384,0.5938850099894631,0.11605551615896337,0.18253021711148895,0.05978687115401907,0.0,0.0,473.28665508249696,102.952149105481,400000.0
dqn,forward,state,tractor_focus,3,1.0,0.0,0.24832180456412323,0.0071211238088875395,0.09671044258842205,0.0074245769996863714,0.0,0.0,642.6101475975787,1.2504796681195163,133333.33333333334
dqn,reverse,state,dense,3,0.1466095732529656,0.28646512461773915,1.5362836827746422,0.8754115635644082,0.47080930058607867,0.4788795196440107,0.011302139239809541,0.011207591553659435,-495.0908354486298,424.1485586364248,nan
dqn,reverse,state,guided,3,0.46394805064586325,0.5568636734150306,1.3485365534214815,0.5014664407770116,0.2922172048140606,0.07103910696247971,0.0,0.0,-313.76134672144366,385.6999619708817,400000.0
dqn,reverse,state,multiplicative,3,0.0005406866720735334,0.0010597458772641254,1.1177003608575455,0.6319113993791312,0.8640232494690929,0.17549575812699636,0.0,0.0,-445.64269555620996,44.35392165503981,nan
dqn,reverse,state,no_hitch,3,0.019513755598208574,0.0382469609724888,1.2770300417743108,1.0836788317405586,0.7795860452013451,0.3500006427890984,0.025911708253358926,0.0507869481765835,-648.6669704167526,276.67558189021776,nan
ppo,forward,state,dense,3,1.0,0.0,0.18442545362888998,0.012073251757061677,0.09273078083788278,0.004169188963318394,0.0,0.0,632.2016490184081,2.0350221604582495,967594.6666666666
ppo,forward,state,guided,3,1.0,0.0,0.19870847125780752,0.017859099491182643,0.11136776337904546,0.006162268103765205,0.0,0.0,-51.161574425128116,32.264191763769276,1101056.0
ppo,forward,state,multiplicative,3,1.0,0.0,0.171586108859914,0.01837025789054648,0.09180141088533371,0.005515256498445033,0.0,0.0,850.0891018270049,13.936895637002406,867498.6666666666
ppo,forward,state,tractor_focus,3,1.0,0.0,0.2040606451762975,0.007426323006652325,0.10327865431402945,0.004440334769943456,0.0,0.0,610.8380634777559,17.20908169534881,1101056.0
ppo,reverse,state,dense,3,0.1429210995986234,0.2779985985904767,1.6404886268279693,0.24936818764176513,0.6011778853207443,0.27242586059765805,0.0,0.0,-395.00763370261006,368.9195804337728,nan
ppo,reverse,state,guided,3,0.8138098536356689,0.28345341785760614,1.344231570008106,0.33955938521977486,0.19798129589105817,0.08749891756381468,0.0,0.0,-168.88517943487489,176.85861150777555,1701632.0
ppo,reverse,state,multiplicative,3,0.4342111762196628,0.010454871397302955,1.440729579279748,0.12943545032794038,0.6821700177783154,0.20792406744977426,0.003771805752003772,0.0073927392739273935,148.7322047379889,14.802418184066,nan
ppo,reverse,state,no_hitch,3,0.135485363878283,0.26348214696872263,1.4419422761281833,0.4992402359411103,0.7519521731721762,0.30803710285795755,0.00034083162917518747,0.0006680299931833675,-403.8165810336298,328.1657571239341,nan
ppo_disc,forward,state,dense,3,0.8071833648393195,0.3779206049149339,0.6279925639903902,0.3189595167024484,0.16797024484095316,0.11961445342212897,0.0,0.0,190.06050856611307,348.4889471374,1801728.0
ppo_disc,forward,state,guided,3,0.42305643737718085,0.03705616517564889,0.5221243755461781,0.005254534182109023,0.2887260783355785,0.07752159616830756,0.0,0.0,-366.59149765809155,35.05096764662669,nan
ppo_disc,forward,state,multiplicative,3,1.0,0.0,0.22036316377846857,0.018018260175133458,0.1052840941726269,0.010284265605032565,0.0,0.0,750.0320019773984,38.18893247238259,1434709.3333333333
ppo_disc,forward,state,tractor_focus,3,0.8895705521472393,0.21644171779141103,0.38060633379959957,0.1554970016043267,0.15557006168126125,0.08350579884826642,0.0,0.0,430.91290371745134,310.5570328695851,1901824.0
ppo_disc,reverse,state,dense,3,0.42343983895890674,0.024320820869945404,1.034495477449096,0.5209280988453207,0.48172805195462765,0.12250553086698013,0.010438295749030213,0.010229538955560615,-61.910588762302005,102.1893201536067,nan
ppo_disc,reverse,state,guided,3,0.5363529693499772,0.08112862919741341,1.6239487331667561,0.3357705619801447,0.1142136369381279,0.0621121033045549,0.009849663037843442,0.019305339554173146,-319.41340296272887,85.71897755832892,nan
ppo_disc,reverse,state,multiplicative,3,0.14507772020725387,0.2843523316062176,0.8929478442684404,0.07993748054951114,0.7265661971103738,0.38037152014281245,0.0006874624043997595,0.0013474263126235287,-240.99152773710102,442.0703070192612,nan
ppo_disc,reverse,state,no_hitch,3,0.2886463606128878,0.28296018262345385,1.192912811959225,0.5174602805769016,0.6111012373997723,0.306483478208955,0.011178407831127496,0.012661348196580347,-222.43513100827377,325.7365959919842,nan
td3,forward,state,dense,3,1.0,0.0,0.48222198415176276,0.34024037268476265,0.13533517610509685,0.037547939707256416,0.0,0.0,529.1637971235882,152.689973854902,300000.0
