run_id,algo,direction,obs,reward,seed,completion_safe,completion_fair,trailer_cte_safe,trailer_cte_fair,max_hitch_safe,max_hitch_fair,jackknife_safe,jackknife_fair,n_safe,n_fair
dqn__forward__state__dense__s0,dqn,forward,state,dense,0,1.0,1.0,0.21019884447059978,0.22398828811577265,0.09843775361999481,0.10575902079775308,0.0,0.0,1536,1536
dqn__forward__state__dense__s1,dqn,forward,state,dense,1,1.0,1.0,0.30218490477139737,0.3331243857949026,0.08812566705455538,0.09896482514098655,0.0,0.0,1536,1536
dqn__forward__state__dense__s2,dqn,forward,state,dense,2,1.0,1.0,0.22014777554348267,0.23479897880866432,0.08813961709165596,0.09617083341981925,0.0,0.0,1536,1536
dqn__forward__state__guided__s0,dqn,forward,state,guided,0,0.022440159574468085,0.013242894056847546,0.6356706531341657,0.6125514030854059,0.3080903442458564,0.3060752032889075,0.0,0.0,6016,6192
dqn__forward__state__guided__s1,dqn,forward,state,guided,1,0.7793871866295264,0.8049886621315193,2.2356024443204396,2.2171070545779106,0.30397084206757774,0.3042080937515175,0.0,0.0,1795,1764
dqn__forward__state__guided__s2,dqn,forward,state,guided,2,1.0,1.0,0.14855672122497868,0.1493823463790467,0.08909823602637901,0.08910309542019079,0.0,0.0,1536,1536
dqn__forward__state__multiplicative__s0,dqn,forward,state,multiplicative,0,0.7332968236582694,0.735838779956427,0.6357508820211758,0.6296688447586014,0.21441722179886447,0.21284994250366338,0.0,0.0,1826,1836
dqn__forward__state__multiplicative__s1,dqn,forward,state,multiplicative,1,0.9948119325551232,0.9980506822612085,0.6269693589524111,0.6310291520784597,0.15019482172223536,0.15239598601088267,0.0,0.0,1542,1539
dqn__forward__state__multiplicative__s2,dqn,forward,state,multiplicative,2,0.8302001212856277,0.8161057692307693,0.4932114350877539,0.4862490788317973,0.1391750604011403,0.1457829495182243,0.0,0.0,1649,1664
dqn__forward__state__tractor_focus__s0,dqn,forward,state,tractor_focus,0,1.0,1.0,0.25455731851055313,0.27219000851797137,0.0973153825046514,0.1031840815188237,0.0,0.0,1536,1536
dqn__forward__state__tractor_focus__s1,dqn,forward,state,tractor_focus,1,1.0,1.0,0.24994966444898092,0.26576965374577416,0.0937819650395492,0.10001118490132892,0.0,0.0,1536,1536
dqn__forward__state__tractor_focus__s2,dqn,forward,state,tractor_focus,2,1.0,1.0,0.23723141390531924,0.23979880882538837,0.09820864135569234,0.09916871796910225,0.0,0.0,1536,1536
