run_id,algo,direction,obs,reward,seed,timesteps,completion,trailer_cte,max_hitch,jackknife,ep_return,n_episodes
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,100000,0.0,1.1757169694099296,0.8034774900152115,0.0,-463.08904393399604,4096
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,200000,0.0,1.1504588582268425,0.6252487551098093,0.0,-395.9229594880955,1027
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,300000,1.0,0.49205685526903065,0.1376356036926154,0.0,570.1328783513709,256
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,400000,1.0,0.2841007491967187,0.12940592228551395,0.0,769.397206311347,256
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,500000,1.0,0.664471332016245,0.162645479751518,0.0,475.9863811645055,256
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,100000,0.0,0.9673913847256331,0.6878584276491441,0.0015527950310559005,-342.58499471216,644
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,200000,0.9808429118773946,0.5680055491613305,0.14820325313228758,0.0,520.077023396299,261
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,300000,1.0,0.46199768078577697,0.12487639629398473,0.0,581.3045266206609,256
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,400000,1.0,0.8484705892433184,0.14067362416244578,0.0,411.6483432011446,256
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,500000,1.0,0.4785210159277925,0.13916697337117512,0.0,614.2794367315364,256
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,100000,0.0,0.9132111682041304,0.7573121872544288,0.0,-327.49194322536397,1050
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,200000,1.0,0.8577280794544839,0.1324735660236911,0.0,484.1081163663087,256
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,300000,1.0,0.2735211403220991,0.12073798530036584,0.0,740.1593817628454,256
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,400000,1.0,0.5684344243946133,0.13420714921085164,0.0,536.8722458204702,256
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,500000,1.0,0.3748920950006542,0.11862839461537078,0.0,713.6551897732425,256
td3__forward__lidar8__multiplicative__s0,td3,forward,lidar8,multiplicative,0,100000,0.0,1.1770972048318975,0.8042692439921666,0.0,-463.11607010420363,4096
td3__forward__lidar8__multiplicative__s0,td3,forward,lidar8,multiplicative,0,200000,0.9481481481481482,0.40702272043212623,0.14239330763618152,0.0,610.7371341157032,270
td3__forward__lidar8__multiplicative__s0,td3,forward,lidar8,multiplicative,0,300000,1.0,0.33785487636353484,0.12077551694528665,0.0,707.1015424490906,256
td3__forward__lidar8__multiplicative__s0,td3,forward,lidar8,multiplicative,0,400000,0.9511278195488722,1.124668094234048,0.12527962683006785,0.0,322.04502158993296,266
td3__forward__lidar8__multiplicative__s0,td3,forward,lidar8,multiplicative,0,500000,1.0,1.5555188290334758,0.1466344450309407,0.0,310.0241699602597,256
td3__forward__lidar8__multiplicative__s1,td3,forward,lidar8,multiplicative,1,100000,0.0,1.1042743111296376,0.5987553044989868,0.0,-429.64234091756896,1820
td3__forward__lidar8__multiplicative__s1,td3,forward,lidar8,multiplicative,1,200000,1.0,1.575468851449346,0.16003907719277777,0.0,303.73765709242736,256
